name,id,variable,date,value
Billings,billings,pfg,1986-01-01,37.94
Billings,billings,pfg,1987-01-01,35.656
Billings,billings,pfg,1988-01-01,38.802
Billings,billings,pfg,1989-01-01,39.714
Billings,billings,pfg,1990-01-01,43.482
Billings,billings,pfg,1991-01-01,45.26
Billings,billings,pfg,1992-01-01,46.993
Billings,billings,pfg,1993-01-01,47.089
Billings,billings,pfg,1994-01-01,47.988
Billings,billings,pfg,1995-01-01,47.096
Billings,billings,pfg,1996-01-01,50.149
Billings,billings,pfg,1997-01-01,47.35
Billings,billings,pfg,1998-01-01,45.61
Billings,billings,pfg,1999-01-01,42.877
Billings,billings,pfg,2000-01-01,41.694
Billings,billings,pfg,2001-01-01,40.567
Billings,billings,pfg,2002-01-01,38.461
Billings,billings,pfg,2003-01-01,41.347
Billings,billings,pfg,2004-01-01,37.107
Billings,billings,pfg,2005-01-01,41.517
Billings,billings,pfg,2006-01-01,39.256
Billings,billings,pfg,2007-01-01,37.987
Billings,billings,pfg,2008-01-01,42.865
Billings,billings,pfg,2009-01-01,43.355
Billings,billings,pfg,2010-01-01,45.02
Billings,billings,pfg,2011-01-01,49.407
Billings,billings,pfg,2012-01-01,44.387
Billings,billings,pfg,2013-01-01,39.508
Billings,billings,pfg,2014-01-01,42.68
Billings,billings,pfg,2015-01-01,40.855
Billings,billings,pfg,2016-01-01,36.906
Billings,billings,pfg,2017-01-01,37.188
Billings,billings,pfg,2018-01-01,39.095
Billings,billings,pfg,2019-01-01,43.437
Billings,billings,pfg,2020-01-01,45.542
