name,id,variable,date,value
Deer Lodge County,30023,pfg,1986-01-01,34.153
Deer Lodge County,30023,pfg,1987-01-01,32.147
Deer Lodge County,30023,pfg,1988-01-01,31.261
Deer Lodge County,30023,pfg,1989-01-01,32.12
Deer Lodge County,30023,pfg,1990-01-01,30.581
Deer Lodge County,30023,pfg,1991-01-01,30.142
Deer Lodge County,30023,pfg,1992-01-01,31.756
Deer Lodge County,30023,pfg,1993-01-01,32.256
Deer Lodge County,30023,pfg,1994-01-01,35.554
Deer Lodge County,30023,pfg,1995-01-01,34.067
Deer Lodge County,30023,pfg,1996-01-01,33.562
Deer Lodge County,30023,pfg,1997-01-01,33.564
Deer Lodge County,30023,pfg,1998-01-01,34.259
Deer Lodge County,30023,pfg,1999-01-01,34.309
Deer Lodge County,30023,pfg,2000-01-01,33.609
Deer Lodge County,30023,pfg,2001-01-01,33.711
Deer Lodge County,30023,pfg,2002-01-01,32.425
Deer Lodge County,30023,pfg,2003-01-01,32.233
Deer Lodge County,30023,pfg,2004-01-01,30.583
Deer Lodge County,30023,pfg,2005-01-01,32.828
Deer Lodge County,30023,pfg,2006-01-01,32.922
Deer Lodge County,30023,pfg,2007-01-01,33.867
Deer Lodge County,30023,pfg,2008-01-01,31.105
Deer Lodge County,30023,pfg,2009-01-01,33.504
Deer Lodge County,30023,pfg,2010-01-01,34.505
Deer Lodge County,30023,pfg,2011-01-01,37.692
Deer Lodge County,30023,pfg,2012-01-01,33.605
Deer Lodge County,30023,pfg,2013-01-01,31.783
Deer Lodge County,30023,pfg,2014-01-01,29.124
Deer Lodge County,30023,pfg,2015-01-01,29.892
Deer Lodge County,30023,pfg,2016-01-01,29.663
Deer Lodge County,30023,pfg,2017-01-01,28.972
Deer Lodge County,30023,pfg,2018-01-01,30.917
Deer Lodge County,30023,pfg,2019-01-01,30.572
Deer Lodge County,30023,pfg,2020-01-01,31.491
