name,id,variable,date,value
Sweet Grass County,30097,pfg,1986-01-01,38.095
Sweet Grass County,30097,pfg,1987-01-01,36.553
Sweet Grass County,30097,pfg,1988-01-01,37.927
Sweet Grass County,30097,pfg,1989-01-01,39.336
Sweet Grass County,30097,pfg,1990-01-01,39.534
Sweet Grass County,30097,pfg,1991-01-01,41.437
Sweet Grass County,30097,pfg,1992-01-01,43.043
Sweet Grass County,30097,pfg,1993-01-01,44.728
Sweet Grass County,30097,pfg,1994-01-01,46.203
Sweet Grass County,30097,pfg,1995-01-01,47.024
Sweet Grass County,30097,pfg,1996-01-01,50.29
Sweet Grass County,30097,pfg,1997-01-01,46.082
Sweet Grass County,30097,pfg,1998-01-01,43.739
Sweet Grass County,30097,pfg,1999-01-01,43.257
Sweet Grass County,30097,pfg,2000-01-01,43.645
Sweet Grass County,30097,pfg,2001-01-01,40.132
Sweet Grass County,30097,pfg,2002-01-01,39.947
Sweet Grass County,30097,pfg,2003-01-01,41.694
Sweet Grass County,30097,pfg,2004-01-01,36.941
Sweet Grass County,30097,pfg,2005-01-01,40.23
Sweet Grass County,30097,pfg,2006-01-01,40.546
Sweet Grass County,30097,pfg,2007-01-01,39.714
Sweet Grass County,30097,pfg,2008-01-01,40.428
Sweet Grass County,30097,pfg,2009-01-01,44.263
Sweet Grass County,30097,pfg,2010-01-01,44.746
Sweet Grass County,30097,pfg,2011-01-01,49.019
Sweet Grass County,30097,pfg,2012-01-01,46.581
Sweet Grass County,30097,pfg,2013-01-01,40.998
Sweet Grass County,30097,pfg,2014-01-01,43.841
Sweet Grass County,30097,pfg,2015-01-01,41.494
Sweet Grass County,30097,pfg,2016-01-01,38.805
Sweet Grass County,30097,pfg,2017-01-01,41.192
Sweet Grass County,30097,pfg,2018-01-01,42.837
Sweet Grass County,30097,pfg,2019-01-01,45.496
Sweet Grass County,30097,pfg,2020-01-01,46.482
