name,id,variable,date,value
Northern Cheyenne,northern-cheyenne,pfg,1986-01-01,47.262
Northern Cheyenne,northern-cheyenne,pfg,1987-01-01,44.205
Northern Cheyenne,northern-cheyenne,pfg,1988-01-01,45.174
Northern Cheyenne,northern-cheyenne,pfg,1989-01-01,46.04
Northern Cheyenne,northern-cheyenne,pfg,1990-01-01,52.723
Northern Cheyenne,northern-cheyenne,pfg,1991-01-01,55.003
Northern Cheyenne,northern-cheyenne,pfg,1992-01-01,53.61
Northern Cheyenne,northern-cheyenne,pfg,1993-01-01,56.625
Northern Cheyenne,northern-cheyenne,pfg,1994-01-01,54.155
Northern Cheyenne,northern-cheyenne,pfg,1995-01-01,50.259
Northern Cheyenne,northern-cheyenne,pfg,1996-01-01,54.388
Northern Cheyenne,northern-cheyenne,pfg,1997-01-01,54.52
Northern Cheyenne,northern-cheyenne,pfg,1998-01-01,47.521
Northern Cheyenne,northern-cheyenne,pfg,1999-01-01,47.943
Northern Cheyenne,northern-cheyenne,pfg,2000-01-01,49.575
Northern Cheyenne,northern-cheyenne,pfg,2001-01-01,47.797
Northern Cheyenne,northern-cheyenne,pfg,2002-01-01,43.432
Northern Cheyenne,northern-cheyenne,pfg,2003-01-01,45.378
Northern Cheyenne,northern-cheyenne,pfg,2004-01-01,38.346
Northern Cheyenne,northern-cheyenne,pfg,2005-01-01,47.543
Northern Cheyenne,northern-cheyenne,pfg,2006-01-01,44.544
Northern Cheyenne,northern-cheyenne,pfg,2007-01-01,44.043
Northern Cheyenne,northern-cheyenne,pfg,2008-01-01,51.252
Northern Cheyenne,northern-cheyenne,pfg,2009-01-01,51.286
Northern Cheyenne,northern-cheyenne,pfg,2010-01-01,54.174
Northern Cheyenne,northern-cheyenne,pfg,2011-01-01,57.364
Northern Cheyenne,northern-cheyenne,pfg,2012-01-01,44.731
Northern Cheyenne,northern-cheyenne,pfg,2013-01-01,40.712
Northern Cheyenne,northern-cheyenne,pfg,2014-01-01,45.496
Northern Cheyenne,northern-cheyenne,pfg,2015-01-01,45.035
Northern Cheyenne,northern-cheyenne,pfg,2016-01-01,39.658
Northern Cheyenne,northern-cheyenne,pfg,2017-01-01,41.937
Northern Cheyenne,northern-cheyenne,pfg,2018-01-01,43.896
Northern Cheyenne,northern-cheyenne,pfg,2019-01-01,45.385
Northern Cheyenne,northern-cheyenne,pfg,2020-01-01,46.811
