name,id,variable,date,value
Lower Yellowstone-Sunday,10100001,pfgnpp,1986-01-01,0.083
Lower Yellowstone-Sunday,10100001,pfgnpp,1987-01-01,0.102
Lower Yellowstone-Sunday,10100001,pfgnpp,1988-01-01,0.069
Lower Yellowstone-Sunday,10100001,pfgnpp,1989-01-01,0.123
Lower Yellowstone-Sunday,10100001,pfgnpp,1990-01-01,0.123
Lower Yellowstone-Sunday,10100001,pfgnpp,1991-01-01,0.157
Lower Yellowstone-Sunday,10100001,pfgnpp,1992-01-01,0.126
Lower Yellowstone-Sunday,10100001,pfgnpp,1993-01-01,0.168
Lower Yellowstone-Sunday,10100001,pfgnpp,1994-01-01,0.136
Lower Yellowstone-Sunday,10100001,pfgnpp,1995-01-01,0.133
Lower Yellowstone-Sunday,10100001,pfgnpp,1996-01-01,0.136
Lower Yellowstone-Sunday,10100001,pfgnpp,1997-01-01,0.139
Lower Yellowstone-Sunday,10100001,pfgnpp,1998-01-01,0.129
Lower Yellowstone-Sunday,10100001,pfgnpp,1999-01-01,0.127
Lower Yellowstone-Sunday,10100001,pfgnpp,2000-01-01,0.099
Lower Yellowstone-Sunday,10100001,pfgnpp,2001-01-01,0.125
Lower Yellowstone-Sunday,10100001,pfgnpp,2002-01-01,0.096
Lower Yellowstone-Sunday,10100001,pfgnpp,2003-01-01,0.11
Lower Yellowstone-Sunday,10100001,pfgnpp,2004-01-01,0.098
Lower Yellowstone-Sunday,10100001,pfgnpp,2005-01-01,0.122
Lower Yellowstone-Sunday,10100001,pfgnpp,2006-01-01,0.106
Lower Yellowstone-Sunday,10100001,pfgnpp,2007-01-01,0.116
Lower Yellowstone-Sunday,10100001,pfgnpp,2008-01-01,0.121
Lower Yellowstone-Sunday,10100001,pfgnpp,2009-01-01,0.131
Lower Yellowstone-Sunday,10100001,pfgnpp,2010-01-01,0.154
Lower Yellowstone-Sunday,10100001,pfgnpp,2011-01-01,0.159
Lower Yellowstone-Sunday,10100001,pfgnpp,2012-01-01,0.117
Lower Yellowstone-Sunday,10100001,pfgnpp,2013-01-01,0.152
Lower Yellowstone-Sunday,10100001,pfgnpp,2014-01-01,0.152
Lower Yellowstone-Sunday,10100001,pfgnpp,2015-01-01,0.126
Lower Yellowstone-Sunday,10100001,pfgnpp,2016-01-01,0.129
Lower Yellowstone-Sunday,10100001,pfgnpp,2017-01-01,0.107
Lower Yellowstone-Sunday,10100001,pfgnpp,2018-01-01,0.153
Lower Yellowstone-Sunday,10100001,pfgnpp,2019-01-01,0.155
Lower Yellowstone-Sunday,10100001,pfgnpp,2020-01-01,0.15
