name,id,variable,date,value
Flathead,flathead,pfgnpp,1986-01-01,0.106
Flathead,flathead,pfgnpp,1987-01-01,0.131
Flathead,flathead,pfgnpp,1988-01-01,0.133
Flathead,flathead,pfgnpp,1989-01-01,0.151
Flathead,flathead,pfgnpp,1990-01-01,0.137
Flathead,flathead,pfgnpp,1991-01-01,0.151
Flathead,flathead,pfgnpp,1992-01-01,0.157
Flathead,flathead,pfgnpp,1993-01-01,0.154
Flathead,flathead,pfgnpp,1994-01-01,0.157
Flathead,flathead,pfgnpp,1995-01-01,0.163
Flathead,flathead,pfgnpp,1996-01-01,0.14
Flathead,flathead,pfgnpp,1997-01-01,0.169
Flathead,flathead,pfgnpp,1998-01-01,0.173
Flathead,flathead,pfgnpp,1999-01-01,0.137
Flathead,flathead,pfgnpp,2000-01-01,0.144
Flathead,flathead,pfgnpp,2001-01-01,0.142
Flathead,flathead,pfgnpp,2002-01-01,0.134
Flathead,flathead,pfgnpp,2003-01-01,0.123
Flathead,flathead,pfgnpp,2004-01-01,0.146
Flathead,flathead,pfgnpp,2005-01-01,0.136
Flathead,flathead,pfgnpp,2006-01-01,0.141
Flathead,flathead,pfgnpp,2007-01-01,0.129
Flathead,flathead,pfgnpp,2008-01-01,0.133
Flathead,flathead,pfgnpp,2009-01-01,0.139
Flathead,flathead,pfgnpp,2010-01-01,0.148
Flathead,flathead,pfgnpp,2011-01-01,0.138
Flathead,flathead,pfgnpp,2012-01-01,0.14
Flathead,flathead,pfgnpp,2013-01-01,0.137
Flathead,flathead,pfgnpp,2014-01-01,0.125
Flathead,flathead,pfgnpp,2015-01-01,0.12
Flathead,flathead,pfgnpp,2016-01-01,0.127
Flathead,flathead,pfgnpp,2017-01-01,0.119
Flathead,flathead,pfgnpp,2018-01-01,0.142
Flathead,flathead,pfgnpp,2019-01-01,0.139
Flathead,flathead,pfgnpp,2020-01-01,0.146
