name,id,variable,date,value
Lewistown,lewistown,pr,1979-01-01,0.964
Lewistown,lewistown,pr,1979-02-01,1.294
Lewistown,lewistown,pr,1979-03-01,1.069
Lewistown,lewistown,pr,1979-04-01,1.906
Lewistown,lewistown,pr,1979-05-01,1.388
Lewistown,lewistown,pr,1979-06-01,2.392
Lewistown,lewistown,pr,1979-07-01,0.883
Lewistown,lewistown,pr,1979-08-01,1.082
Lewistown,lewistown,pr,1979-09-01,0.358
Lewistown,lewistown,pr,1979-10-01,0.768
Lewistown,lewistown,pr,1979-11-01,0.433
Lewistown,lewistown,pr,1979-12-01,0.888
Lewistown,lewistown,pr,1980-01-01,1.141
Lewistown,lewistown,pr,1980-02-01,0.921
Lewistown,lewistown,pr,1980-03-01,1.465
Lewistown,lewistown,pr,1980-04-01,1.13
Lewistown,lewistown,pr,1980-05-01,4.228
Lewistown,lewistown,pr,1980-06-01,3.553
Lewistown,lewistown,pr,1980-07-01,0.762
Lewistown,lewistown,pr,1980-08-01,1.505
Lewistown,lewistown,pr,1980-09-01,1.153
Lewistown,lewistown,pr,1980-10-01,1.9
Lewistown,lewistown,pr,1980-11-01,0.672
Lewistown,lewistown,pr,1980-12-01,0.958
Lewistown,lewistown,pr,1981-01-01,0.448
Lewistown,lewistown,pr,1981-02-01,0.702
Lewistown,lewistown,pr,1981-03-01,2.018
Lewistown,lewistown,pr,1981-04-01,0.812
Lewistown,lewistown,pr,1981-05-01,7.037
Lewistown,lewistown,pr,1981-06-01,2.419
Lewistown,lewistown,pr,1981-07-01,1.64
Lewistown,lewistown,pr,1981-08-01,1.081
Lewistown,lewistown,pr,1981-09-01,0.608
Lewistown,lewistown,pr,1981-10-01,1.582
Lewistown,lewistown,pr,1981-11-01,0.627
Lewistown,lewistown,pr,1981-12-01,0.875
Lewistown,lewistown,pr,1982-01-01,1.611
Lewistown,lewistown,pr,1982-02-01,1.325
Lewistown,lewistown,pr,1982-03-01,1.78
Lewistown,lewistown,pr,1982-04-01,1.416
Lewistown,lewistown,pr,1982-05-01,4.262
Lewistown,lewistown,pr,1982-06-01,2.954
Lewistown,lewistown,pr,1982-07-01,1.692
Lewistown,lewistown,pr,1982-08-01,0.811
Lewistown,lewistown,pr,1982-09-01,2.269
Lewistown,lewistown,pr,1982-10-01,1.05
Lewistown,lewistown,pr,1982-11-01,0.614
Lewistown,lewistown,pr,1982-12-01,1.308
Lewistown,lewistown,pr,1983-01-01,0.504
Lewistown,lewistown,pr,1983-02-01,0.496
Lewistown,lewistown,pr,1983-03-01,1.312
Lewistown,lewistown,pr,1983-04-01,0.786
Lewistown,lewistown,pr,1983-05-01,2.279
Lewistown,lewistown,pr,1983-06-01,2.44
Lewistown,lewistown,pr,1983-07-01,3.065
Lewistown,lewistown,pr,1983-08-01,0.931
Lewistown,lewistown,pr,1983-09-01,1.822
Lewistown,lewistown,pr,1983-10-01,1.11
Lewistown,lewistown,pr,1983-11-01,1.147
Lewistown,lewistown,pr,1983-12-01,0.925
Lewistown,lewistown,pr,1984-01-01,0.954
Lewistown,lewistown,pr,1984-02-01,0.679
Lewistown,lewistown,pr,1984-03-01,1.408
Lewistown,lewistown,pr,1984-04-01,1.605
Lewistown,lewistown,pr,1984-05-01,1.497
Lewistown,lewistown,pr,1984-06-01,2.249
Lewistown,lewistown,pr,1984-07-01,0.286
Lewistown,lewistown,pr,1984-08-01,1.33
Lewistown,lewistown,pr,1984-09-01,1.694
Lewistown,lewistown,pr,1984-10-01,1.329
Lewistown,lewistown,pr,1984-11-01,0.806
Lewistown,lewistown,pr,1984-12-01,1.37
Lewistown,lewistown,pr,1985-01-01,0.37
Lewistown,lewistown,pr,1985-02-01,0.726
Lewistown,lewistown,pr,1985-03-01,1.373
Lewistown,lewistown,pr,1985-04-01,0.911
Lewistown,lewistown,pr,1985-05-01,2.018
Lewistown,lewistown,pr,1985-06-01,0.872
Lewistown,lewistown,pr,1985-07-01,0.505
Lewistown,lewistown,pr,1985-08-01,4.681
Lewistown,lewistown,pr,1985-09-01,3.891
Lewistown,lewistown,pr,1985-10-01,1.541
Lewistown,lewistown,pr,1985-11-01,1.476
Lewistown,lewistown,pr,1985-12-01,0.467
Lewistown,lewistown,pr,1986-01-01,0.715
Lewistown,lewistown,pr,1986-02-01,1.521
Lewistown,lewistown,pr,1986-03-01,0.725
Lewistown,lewistown,pr,1986-04-01,1.719
Lewistown,lewistown,pr,1986-05-01,2.99
Lewistown,lewistown,pr,1986-06-01,2.267
Lewistown,lewistown,pr,1986-07-01,2.155
Lewistown,lewistown,pr,1986-08-01,1.53
Lewistown,lewistown,pr,1986-09-01,3.633
Lewistown,lewistown,pr,1986-10-01,0.746
Lewistown,lewistown,pr,1986-11-01,1.255
Lewistown,lewistown,pr,1986-12-01,0.396
Lewistown,lewistown,pr,1987-01-01,0.343
Lewistown,lewistown,pr,1987-02-01,0.512
Lewistown,lewistown,pr,1987-03-01,1.904
Lewistown,lewistown,pr,1987-04-01,0.64
Lewistown,lewistown,pr,1987-05-01,3.174
Lewistown,lewistown,pr,1987-06-01,1.57
Lewistown,lewistown,pr,1987-07-01,3.729
Lewistown,lewistown,pr,1987-08-01,1.811
Lewistown,lewistown,pr,1987-09-01,0.641
