name,id,variable,date,value
Malta,malta,pr,1979-01-01,0.492
Malta,malta,pr,1979-02-01,0.928
Malta,malta,pr,1979-03-01,0.595
Malta,malta,pr,1979-04-01,1.82
Malta,malta,pr,1979-05-01,1.369
Malta,malta,pr,1979-06-01,1.257
Malta,malta,pr,1979-07-01,1.469
Malta,malta,pr,1979-08-01,0.764
Malta,malta,pr,1979-09-01,0.519
Malta,malta,pr,1979-10-01,0.602
Malta,malta,pr,1979-11-01,0.258
Malta,malta,pr,1979-12-01,0.578
Malta,malta,pr,1980-01-01,0.732
Malta,malta,pr,1980-02-01,0.543
Malta,malta,pr,1980-03-01,0.744
Malta,malta,pr,1980-04-01,0.971
Malta,malta,pr,1980-05-01,2.007
Malta,malta,pr,1980-06-01,2.906
Malta,malta,pr,1980-07-01,0.591
Malta,malta,pr,1980-08-01,1.412
Malta,malta,pr,1980-09-01,0.847
Malta,malta,pr,1980-10-01,1.428
Malta,malta,pr,1980-11-01,0.478
Malta,malta,pr,1980-12-01,0.9
Malta,malta,pr,1981-01-01,0.233
Malta,malta,pr,1981-02-01,0.325
Malta,malta,pr,1981-03-01,1.281
Malta,malta,pr,1981-04-01,0.376
Malta,malta,pr,1981-05-01,4.119
Malta,malta,pr,1981-06-01,2.318
Malta,malta,pr,1981-07-01,1.539
Malta,malta,pr,1981-08-01,0.708
Malta,malta,pr,1981-09-01,0.461
Malta,malta,pr,1981-10-01,1.299
Malta,malta,pr,1981-11-01,0.395
Malta,malta,pr,1981-12-01,0.489
Malta,malta,pr,1982-01-01,1.404
Malta,malta,pr,1982-02-01,0.855
Malta,malta,pr,1982-03-01,1.162
Malta,malta,pr,1982-04-01,0.575
Malta,malta,pr,1982-05-01,4.442
Malta,malta,pr,1982-06-01,1.874
Malta,malta,pr,1982-07-01,1.641
Malta,malta,pr,1982-08-01,1.178
Malta,malta,pr,1982-09-01,1.635
Malta,malta,pr,1982-10-01,0.798
Malta,malta,pr,1982-11-01,0.328
Malta,malta,pr,1982-12-01,0.809
Malta,malta,pr,1983-01-01,0.491
Malta,malta,pr,1983-02-01,0.31
Malta,malta,pr,1983-03-01,1.091
Malta,malta,pr,1983-04-01,0.445
Malta,malta,pr,1983-05-01,1.854
Malta,malta,pr,1983-06-01,1.662
Malta,malta,pr,1983-07-01,3.193
Malta,malta,pr,1983-08-01,0.557
Malta,malta,pr,1983-09-01,1.13
Malta,malta,pr,1983-10-01,0.444
Malta,malta,pr,1983-11-01,0.657
Malta,malta,pr,1983-12-01,0.59
Malta,malta,pr,1984-01-01,0.728
Malta,malta,pr,1984-02-01,0.449
Malta,malta,pr,1984-03-01,0.836
Malta,malta,pr,1984-04-01,0.75
Malta,malta,pr,1984-05-01,1.119
Malta,malta,pr,1984-06-01,1.858
Malta,malta,pr,1984-07-01,0.139
Malta,malta,pr,1984-08-01,0.789
Malta,malta,pr,1984-09-01,1.48
Malta,malta,pr,1984-10-01,0.996
Malta,malta,pr,1984-11-01,0.447
Malta,malta,pr,1984-12-01,0.877
Malta,malta,pr,1985-01-01,0.147
Malta,malta,pr,1985-02-01,0.379
Malta,malta,pr,1985-03-01,0.909
Malta,malta,pr,1985-04-01,1.048
Malta,malta,pr,1985-05-01,2.308
Malta,malta,pr,1985-06-01,0.534
Malta,malta,pr,1985-07-01,0.457
Malta,malta,pr,1985-08-01,3.344
Malta,malta,pr,1985-09-01,3.396
Malta,malta,pr,1985-10-01,1.143
Malta,malta,pr,1985-11-01,1.036
Malta,malta,pr,1985-12-01,0.302
Malta,malta,pr,1986-01-01,0.548
Malta,malta,pr,1986-02-01,0.958
Malta,malta,pr,1986-03-01,0.553
Malta,malta,pr,1986-04-01,0.794
Malta,malta,pr,1986-05-01,3.915
Malta,malta,pr,1986-06-01,1.98
Malta,malta,pr,1986-07-01,1.311
Malta,malta,pr,1986-08-01,1.015
Malta,malta,pr,1986-09-01,5.268
Malta,malta,pr,1986-10-01,0.772
Malta,malta,pr,1986-11-01,1.024
Malta,malta,pr,1986-12-01,0.193
Malta,malta,pr,1987-01-01,0.227
Malta,malta,pr,1987-02-01,0.313
Malta,malta,pr,1987-03-01,1.433
Malta,malta,pr,1987-04-01,0.482
Malta,malta,pr,1987-05-01,1.975
Malta,malta,pr,1987-06-01,1.501
Malta,malta,pr,1987-07-01,2.929
Malta,malta,pr,1987-08-01,1.657
Malta,malta,pr,1987-09-01,0.769
Malta,malta,pr,1987-10-01,0.085
Malta,malta,pr,1987-11-01,0.124
Malta,malta,pr,1987-12-01,0.343
Malta,malta,pr,1988-01-01,0.574
Malta,malta,pr,1988-02-01,0.453
Malta,malta,pr,1988-03-01,0.723
Malta,malta,pr,1988-04-01,0.465
Malta,malta,pr,1988-05-01,1.503
Malta,malta,pr,1988-06-01,1.912
Malta,malta,pr,1988-07-01,1.174
Malta,malta,pr,1988-08-01,0.325
Malta,malta,pr,1988-09-01,1.83
Malta,malta,pr,1988-10-01,0.606
Malta,malta,pr,1988-11-01,0.525
Malta,malta,pr,1988-12-01,0.617
Malta,malta,pr,1989-01-01,0.972
Malta,malta,pr,1989-02-01,0.549
Malta,malta,pr,1989-03-01,0.859
Malta,malta,pr,1989-04-01,1.964
Malta,malta,pr,1989-05-01,2.649
Malta,malta,pr,1989-06-01,2.29
Malta,malta,pr,1989-07-01,1.795
Malta,malta,pr,1989-08-01,2.881
Malta,malta,pr,1989-09-01,0.793
Malta,malta,pr,1989-10-01,0.687
Malta,malta,pr,1989-11-01,1.264
Malta,malta,pr,1989-12-01,1.29
Malta,malta,pr,1990-01-01,0.864
Malta,malta,pr,1990-02-01,0.362
Malta,malta,pr,1990-03-01,0.871
Malta,malta,pr,1990-04-01,1.014
Malta,malta,pr,1990-05-01,2.613
Malta,malta,pr,1990-06-01,1.432
Malta,malta,pr,1990-07-01,1.712
Malta,malta,pr,1990-08-01,1.367
Malta,malta,pr,1990-09-01,0.104
Malta,malta,pr,1990-10-01,0.674
Malta,malta,pr,1990-11-01,0.917
Malta,malta,pr,1990-12-01,0.645
Malta,malta,pr,1991-01-01,0.664
Malta,malta,pr,1991-02-01,0.412
Malta,malta,pr,1991-03-01,0.796
Malta,malta,pr,1991-04-01,1.902
Malta,malta,pr,1991-05-01,2.508
Malta,malta,pr,1991-06-01,5.426
Malta,malta,pr,1991-07-01,0.773
Malta,malta,pr,1991-08-01,1.216
Malta,malta,pr,1991-09-01,0.835
Malta,malta,pr,1991-10-01,0.62
Malta,malta,pr,1991-11-01,0.772
Malta,malta,pr,1991-12-01,0.303
Malta,malta,pr,1992-01-01,0.333
Malta,malta,pr,1992-02-01,0.242
Malta,malta,pr,1992-03-01,0.298
Malta,malta,pr,1992-04-01,0.858
Malta,malta,pr,1992-05-01,0.834
Malta,malta,pr,1992-06-01,2.923
Malta,malta,pr,1992-07-01,3.043
Malta,malta,pr,1992-08-01,1.257
Malta,malta,pr,1992-09-01,0.884
Malta,malta,pr,1992-10-01,1.317
Malta,malta,pr,1992-11-01,0.812
Malta,malta,pr,1992-12-01,0.709
Malta,malta,pr,1993-01-01,0.538
Malta,malta,pr,1993-02-01,0.438
Malta,malta,pr,1993-03-01,0.897
Malta,malta,pr,1993-04-01,1.152
Malta,malta,pr,1993-05-01,1.341
Malta,malta,pr,1993-06-01,3.542
Malta,malta,pr,1993-07-01,5.738
Malta,malta,pr,1993-08-01,2.609
Malta,malta,pr,1993-09-01,1.214
Malta,malta,pr,1993-10-01,0.578
Malta,malta,pr,1993-11-01,0.716
Malta,malta,pr,1993-12-01,0.487
Malta,malta,pr,1994-01-01,0.916
Malta,malta,pr,1994-02-01,0.641
Malta,malta,pr,1994-03-01,0.288
Malta,malta,pr,1994-04-01,1.473
Malta,malta,pr,1994-05-01,1.822
Malta,malta,pr,1994-06-01,2.676
Malta,malta,pr,1994-07-01,0.548
Malta,malta,pr,1994-08-01,0.368
Malta,malta,pr,1994-09-01,0.344
Malta,malta,pr,1994-10-01,1.591
Malta,malta,pr,1994-11-01,0.598
Malta,malta,pr,1994-12-01,0.439
Malta,malta,pr,1995-01-01,0.245
Malta,malta,pr,1995-02-01,0.317
Malta,malta,pr,1995-03-01,0.802
Malta,malta,pr,1995-04-01,1.18
Malta,malta,pr,1995-05-01,1.946
Malta,malta,pr,1995-06-01,5.318
Malta,malta,pr,1995-07-01,2.785
Malta,malta,pr,1995-08-01,1.267
Malta,malta,pr,1995-09-01,0.746
Malta,malta,pr,1995-10-01,1.446
Malta,malta,pr,1995-11-01,1.113
Malta,malta,pr,1995-12-01,0.774
Malta,malta,pr,1996-01-01,1.13
Malta,malta,pr,1996-02-01,0.56
Malta,malta,pr,1996-03-01,0.927
Malta,malta,pr,1996-04-01,0.766
Malta,malta,pr,1996-05-01,2.52
Malta,malta,pr,1996-06-01,2.288
Malta,malta,pr,1996-07-01,0.646
Malta,malta,pr,1996-08-01,0.314
Malta,malta,pr,1996-09-01,2.255
Malta,malta,pr,1996-10-01,0.527
Malta,malta,pr,1996-11-01,1.126
Malta,malta,pr,1996-12-01,1.253
Malta,malta,pr,1997-01-01,0.536
Malta,malta,pr,1997-02-01,0.313
Malta,malta,pr,1997-03-01,0.901
Malta,malta,pr,1997-04-01,1.072
Malta,malta,pr,1997-05-01,2.404
Malta,malta,pr,1997-06-01,2.744
Malta,malta,pr,1997-07-01,1.795
Malta,malta,pr,1997-08-01,1.467
Malta,malta,pr,1997-09-01,0.667
Malta,malta,pr,1997-10-01,0.829
Malta,malta,pr,1997-11-01,0.444
Malta,malta,pr,1997-12-01,0.258
Malta,malta,pr,1998-01-01,0.659
Malta,malta,pr,1998-02-01,0.234
Malta,malta,pr,1998-03-01,0.982
Malta,malta,pr,1998-04-01,1.051
Malta,malta,pr,1998-05-01,1.377
Malta,malta,pr,1998-06-01,4.319
Malta,malta,pr,1998-07-01,1.777
Malta,malta,pr,1998-08-01,1.004
Malta,malta,pr,1998-09-01,0.568
Malta,malta,pr,1998-10-01,1.119
Malta,malta,pr,1998-11-01,1.274
Malta,malta,pr,1998-12-01,1.042
Malta,malta,pr,1999-01-01,0.833
Malta,malta,pr,1999-02-01,0.687
Malta,malta,pr,1999-03-01,0.539
Malta,malta,pr,1999-04-01,1.562
Malta,malta,pr,1999-05-01,2.251
Malta,malta,pr,1999-06-01,2.865
Malta,malta,pr,1999-07-01,1.168
Malta,malta,pr,1999-08-01,1.5
Malta,malta,pr,1999-09-01,1.243
Malta,malta,pr,1999-10-01,0.966
Malta,malta,pr,1999-11-01,0.685
Malta,malta,pr,1999-12-01,0.405
Malta,malta,pr,2000-01-01,0.615
Malta,malta,pr,2000-02-01,0.523
Malta,malta,pr,2000-03-01,0.717
Malta,malta,pr,2000-04-01,0.95
Malta,malta,pr,2000-05-01,1.751
Malta,malta,pr,2000-06-01,2.066
Malta,malta,pr,2000-07-01,1.89
Malta,malta,pr,2000-08-01,0.277
Malta,malta,pr,2000-09-01,1.45
Malta,malta,pr,2000-10-01,0.649
Malta,malta,pr,2000-11-01,0.354
Malta,malta,pr,2000-12-01,0.548
Malta,malta,pr,2001-01-01,0.317
Malta,malta,pr,2001-02-01,0.392
Malta,malta,pr,2001-03-01,0.353
Malta,malta,pr,2001-04-01,1.083
Malta,malta,pr,2001-05-01,0.627
Malta,malta,pr,2001-06-01,2.979
Malta,malta,pr,2001-07-01,2.538
