name,id,variable,date,value
Roosevelt County,30085,pr,1979-01-01,0.187
Roosevelt County,30085,pr,1979-02-01,0.711
Roosevelt County,30085,pr,1979-03-01,0.472
Roosevelt County,30085,pr,1979-04-01,1.632
Roosevelt County,30085,pr,1979-05-01,1.917
Roosevelt County,30085,pr,1979-06-01,1.003
Roosevelt County,30085,pr,1979-07-01,1.858
Roosevelt County,30085,pr,1979-08-01,0.233
Roosevelt County,30085,pr,1979-09-01,0.513
Roosevelt County,30085,pr,1979-10-01,0.332
Roosevelt County,30085,pr,1979-11-01,0.183
Roosevelt County,30085,pr,1979-12-01,0.066
Roosevelt County,30085,pr,1980-01-01,0.606
Roosevelt County,30085,pr,1980-02-01,0.176
Roosevelt County,30085,pr,1980-03-01,0.284
Roosevelt County,30085,pr,1980-04-01,0.353
Roosevelt County,30085,pr,1980-05-01,0.228
Roosevelt County,30085,pr,1980-06-01,2.025
Roosevelt County,30085,pr,1980-07-01,0.962
Roosevelt County,30085,pr,1980-08-01,2.806
Roosevelt County,30085,pr,1980-09-01,1.519
Roosevelt County,30085,pr,1980-10-01,1.332
Roosevelt County,30085,pr,1980-11-01,0.307
Roosevelt County,30085,pr,1980-12-01,0.537
Roosevelt County,30085,pr,1981-01-01,0.088
Roosevelt County,30085,pr,1981-02-01,0.1
Roosevelt County,30085,pr,1981-03-01,0.422
Roosevelt County,30085,pr,1981-04-01,0.495
Roosevelt County,30085,pr,1981-05-01,1.181
Roosevelt County,30085,pr,1981-06-01,4.224
Roosevelt County,30085,pr,1981-07-01,2.135
Roosevelt County,30085,pr,1981-08-01,0.936
Roosevelt County,30085,pr,1981-09-01,0.612
Roosevelt County,30085,pr,1981-10-01,1.133
Roosevelt County,30085,pr,1981-11-01,0.521
Roosevelt County,30085,pr,1981-12-01,0.313
Roosevelt County,30085,pr,1982-01-01,1.02
Roosevelt County,30085,pr,1982-02-01,0.434
Roosevelt County,30085,pr,1982-03-01,0.996
Roosevelt County,30085,pr,1982-04-01,0.609
Roosevelt County,30085,pr,1982-05-01,3.78
Roosevelt County,30085,pr,1982-06-01,2.239
Roosevelt County,30085,pr,1982-07-01,1.556
Roosevelt County,30085,pr,1982-08-01,1.49
Roosevelt County,30085,pr,1982-09-01,1.485
Roosevelt County,30085,pr,1982-10-01,1.44
Roosevelt County,30085,pr,1982-11-01,0.064
Roosevelt County,30085,pr,1982-12-01,0.875
Roosevelt County,30085,pr,1983-01-01,0.213
Roosevelt County,30085,pr,1983-02-01,0.08
Roosevelt County,30085,pr,1983-03-01,0.793
Roosevelt County,30085,pr,1983-04-01,0.127
Roosevelt County,30085,pr,1983-05-01,1.703
Roosevelt County,30085,pr,1983-06-01,0.949
Roosevelt County,30085,pr,1983-07-01,2.497
Roosevelt County,30085,pr,1983-08-01,0.588
Roosevelt County,30085,pr,1983-09-01,1.31
Roosevelt County,30085,pr,1983-10-01,0.145
Roosevelt County,30085,pr,1983-11-01,0.359
Roosevelt County,30085,pr,1983-12-01,0.342
Roosevelt County,30085,pr,1984-01-01,0.464
Roosevelt County,30085,pr,1984-02-01,0.12
Roosevelt County,30085,pr,1984-03-01,0.287
Roosevelt County,30085,pr,1984-04-01,0.329
Roosevelt County,30085,pr,1984-05-01,0.599
Roosevelt County,30085,pr,1984-06-01,3.651
Roosevelt County,30085,pr,1984-07-01,0.2
Roosevelt County,30085,pr,1984-08-01,0.694
Roosevelt County,30085,pr,1984-09-01,1.285
Roosevelt County,30085,pr,1984-10-01,0.459
Roosevelt County,30085,pr,1984-11-01,0.225
Roosevelt County,30085,pr,1984-12-01,0.432
Roosevelt County,30085,pr,1985-01-01,0.09
Roosevelt County,30085,pr,1985-02-01,0.085
Roosevelt County,30085,pr,1985-03-01,0.787
Roosevelt County,30085,pr,1985-04-01,1.312
Roosevelt County,30085,pr,1985-05-01,1.925
Roosevelt County,30085,pr,1985-06-01,0.593
Roosevelt County,30085,pr,1985-07-01,1.14
Roosevelt County,30085,pr,1985-08-01,2.415
Roosevelt County,30085,pr,1985-09-01,1.127
Roosevelt County,30085,pr,1985-10-01,1.231
Roosevelt County,30085,pr,1985-11-01,0.482
Roosevelt County,30085,pr,1985-12-01,0.401
Roosevelt County,30085,pr,1986-01-01,0.261
Roosevelt County,30085,pr,1986-02-01,0.493
Roosevelt County,30085,pr,1986-03-01,0.291
Roosevelt County,30085,pr,1986-04-01,0.896
Roosevelt County,30085,pr,1986-05-01,3.207
Roosevelt County,30085,pr,1986-06-01,2.188
Roosevelt County,30085,pr,1986-07-01,3.34
Roosevelt County,30085,pr,1986-08-01,0.778
Roosevelt County,30085,pr,1986-09-01,4.144
Roosevelt County,30085,pr,1986-10-01,0.816
Roosevelt County,30085,pr,1986-11-01,0.772
Roosevelt County,30085,pr,1986-12-01,0.043
Roosevelt County,30085,pr,1987-01-01,0.135
Roosevelt County,30085,pr,1987-02-01,0.093
Roosevelt County,30085,pr,1987-03-01,1.093
Roosevelt County,30085,pr,1987-04-01,0.262
Roosevelt County,30085,pr,1987-05-01,2.701
Roosevelt County,30085,pr,1987-06-01,1.299
Roosevelt County,30085,pr,1987-07-01,4.789
Roosevelt County,30085,pr,1987-08-01,1.032
Roosevelt County,30085,pr,1987-09-01,1.185
