name,id,variable,date,value
Fort Belknap,fort-belknap,pr,1979-01-01,0.573
Fort Belknap,fort-belknap,pr,1979-02-01,0.85
Fort Belknap,fort-belknap,pr,1979-03-01,0.503
Fort Belknap,fort-belknap,pr,1979-04-01,1.998
Fort Belknap,fort-belknap,pr,1979-05-01,1.284
Fort Belknap,fort-belknap,pr,1979-06-01,0.885
Fort Belknap,fort-belknap,pr,1979-07-01,1.942
Fort Belknap,fort-belknap,pr,1979-08-01,0.756
Fort Belknap,fort-belknap,pr,1979-09-01,0.623
Fort Belknap,fort-belknap,pr,1979-10-01,0.487
Fort Belknap,fort-belknap,pr,1979-11-01,0.204
Fort Belknap,fort-belknap,pr,1979-12-01,0.223
Fort Belknap,fort-belknap,pr,1980-01-01,0.725
Fort Belknap,fort-belknap,pr,1980-02-01,0.364
Fort Belknap,fort-belknap,pr,1980-03-01,0.766
Fort Belknap,fort-belknap,pr,1980-04-01,1.096
Fort Belknap,fort-belknap,pr,1980-05-01,1.239
Fort Belknap,fort-belknap,pr,1980-06-01,2.699
Fort Belknap,fort-belknap,pr,1980-07-01,0.568
Fort Belknap,fort-belknap,pr,1980-08-01,1.285
Fort Belknap,fort-belknap,pr,1980-09-01,0.764
Fort Belknap,fort-belknap,pr,1980-10-01,1.7
Fort Belknap,fort-belknap,pr,1980-11-01,0.217
Fort Belknap,fort-belknap,pr,1980-12-01,0.54
Fort Belknap,fort-belknap,pr,1981-01-01,0.147
Fort Belknap,fort-belknap,pr,1981-02-01,0.085
Fort Belknap,fort-belknap,pr,1981-03-01,0.813
Fort Belknap,fort-belknap,pr,1981-04-01,0.21
Fort Belknap,fort-belknap,pr,1981-05-01,4.382
Fort Belknap,fort-belknap,pr,1981-06-01,2.238
Fort Belknap,fort-belknap,pr,1981-07-01,1.384
Fort Belknap,fort-belknap,pr,1981-08-01,0.593
Fort Belknap,fort-belknap,pr,1981-09-01,0.532
Fort Belknap,fort-belknap,pr,1981-10-01,1.534
Fort Belknap,fort-belknap,pr,1981-11-01,0.211
Fort Belknap,fort-belknap,pr,1981-12-01,0.251
Fort Belknap,fort-belknap,pr,1982-01-01,1.657
Fort Belknap,fort-belknap,pr,1982-02-01,0.679
Fort Belknap,fort-belknap,pr,1982-03-01,0.901
Fort Belknap,fort-belknap,pr,1982-04-01,0.413
Fort Belknap,fort-belknap,pr,1982-05-01,5.379
Fort Belknap,fort-belknap,pr,1982-06-01,1.697
Fort Belknap,fort-belknap,pr,1982-07-01,1.943
Fort Belknap,fort-belknap,pr,1982-08-01,1.212
Fort Belknap,fort-belknap,pr,1982-09-01,1.472
Fort Belknap,fort-belknap,pr,1982-10-01,0.782
Fort Belknap,fort-belknap,pr,1982-11-01,0.087
Fort Belknap,fort-belknap,pr,1982-12-01,0.714
Fort Belknap,fort-belknap,pr,1983-01-01,0.326
Fort Belknap,fort-belknap,pr,1983-02-01,0.259
Fort Belknap,fort-belknap,pr,1983-03-01,1.024
Fort Belknap,fort-belknap,pr,1983-04-01,0.3
Fort Belknap,fort-belknap,pr,1983-05-01,2.274
Fort Belknap,fort-belknap,pr,1983-06-01,1.353
Fort Belknap,fort-belknap,pr,1983-07-01,3.622
Fort Belknap,fort-belknap,pr,1983-08-01,0.483
Fort Belknap,fort-belknap,pr,1983-09-01,1.333
Fort Belknap,fort-belknap,pr,1983-10-01,0.579
Fort Belknap,fort-belknap,pr,1983-11-01,0.368
Fort Belknap,fort-belknap,pr,1983-12-01,0.533
Fort Belknap,fort-belknap,pr,1984-01-01,0.784
Fort Belknap,fort-belknap,pr,1984-02-01,0.492
Fort Belknap,fort-belknap,pr,1984-03-01,0.792
Fort Belknap,fort-belknap,pr,1984-04-01,0.577
Fort Belknap,fort-belknap,pr,1984-05-01,0.918
Fort Belknap,fort-belknap,pr,1984-06-01,1.937
Fort Belknap,fort-belknap,pr,1984-07-01,0.086
Fort Belknap,fort-belknap,pr,1984-08-01,0.879
Fort Belknap,fort-belknap,pr,1984-09-01,1.419
Fort Belknap,fort-belknap,pr,1984-10-01,0.648
Fort Belknap,fort-belknap,pr,1984-11-01,0.336
Fort Belknap,fort-belknap,pr,1984-12-01,0.741
Fort Belknap,fort-belknap,pr,1985-01-01,0.106
Fort Belknap,fort-belknap,pr,1985-02-01,0.154
Fort Belknap,fort-belknap,pr,1985-03-01,1.133
Fort Belknap,fort-belknap,pr,1985-04-01,0.936
Fort Belknap,fort-belknap,pr,1985-05-01,2.537
Fort Belknap,fort-belknap,pr,1985-06-01,0.425
Fort Belknap,fort-belknap,pr,1985-07-01,0.381
Fort Belknap,fort-belknap,pr,1985-08-01,4.116
Fort Belknap,fort-belknap,pr,1985-09-01,3.139
Fort Belknap,fort-belknap,pr,1985-10-01,0.854
Fort Belknap,fort-belknap,pr,1985-11-01,0.915
Fort Belknap,fort-belknap,pr,1985-12-01,0.215
Fort Belknap,fort-belknap,pr,1986-01-01,0.455
Fort Belknap,fort-belknap,pr,1986-02-01,0.699
Fort Belknap,fort-belknap,pr,1986-03-01,0.286
Fort Belknap,fort-belknap,pr,1986-04-01,0.834
Fort Belknap,fort-belknap,pr,1986-05-01,5.151
Fort Belknap,fort-belknap,pr,1986-06-01,1.879
Fort Belknap,fort-belknap,pr,1986-07-01,1.296
