name,id,variable,date,value
Lower Selway,17060302,rmax,1979-01-01,89.187
Lower Selway,17060302,rmax,1979-02-01,90.747
Lower Selway,17060302,rmax,1979-03-01,93.654
Lower Selway,17060302,rmax,1979-04-01,91.104
Lower Selway,17060302,rmax,1979-05-01,82.136
Lower Selway,17060302,rmax,1979-06-01,73.602
Lower Selway,17060302,rmax,1979-07-01,72.632
Lower Selway,17060302,rmax,1979-08-01,76.814
Lower Selway,17060302,rmax,1979-09-01,83.918
Lower Selway,17060302,rmax,1979-10-01,87.005
Lower Selway,17060302,rmax,1979-11-01,93.172
Lower Selway,17060302,rmax,1979-12-01,95.259
Lower Selway,17060302,rmax,1980-01-01,93.661
Lower Selway,17060302,rmax,1980-02-01,95.635
Lower Selway,17060302,rmax,1980-03-01,96.084
Lower Selway,17060302,rmax,1980-04-01,86.72
Lower Selway,17060302,rmax,1980-05-01,89.949
Lower Selway,17060302,rmax,1980-06-01,87.901
Lower Selway,17060302,rmax,1980-07-01,73.163
Lower Selway,17060302,rmax,1980-08-01,77.769
Lower Selway,17060302,rmax,1980-09-01,82.44
Lower Selway,17060302,rmax,1980-10-01,82.717
Lower Selway,17060302,rmax,1980-11-01,91.937
Lower Selway,17060302,rmax,1980-12-01,90.227
Lower Selway,17060302,rmax,1981-01-01,95.76
Lower Selway,17060302,rmax,1981-02-01,95.394
Lower Selway,17060302,rmax,1981-03-01,93.895
Lower Selway,17060302,rmax,1981-04-01,87.66
Lower Selway,17060302,rmax,1981-05-01,91.907
Lower Selway,17060302,rmax,1981-06-01,85.449
Lower Selway,17060302,rmax,1981-07-01,72.183
Lower Selway,17060302,rmax,1981-08-01,66.497
Lower Selway,17060302,rmax,1981-09-01,80.523
Lower Selway,17060302,rmax,1981-10-01,91.002
Lower Selway,17060302,rmax,1981-11-01,95.443
Lower Selway,17060302,rmax,1981-12-01,95.106
Lower Selway,17060302,rmax,1982-01-01,92.378
Lower Selway,17060302,rmax,1982-02-01,91.361
Lower Selway,17060302,rmax,1982-03-01,95.316
Lower Selway,17060302,rmax,1982-04-01,88.551
Lower Selway,17060302,rmax,1982-05-01,82.307
Lower Selway,17060302,rmax,1982-06-01,85.263
Lower Selway,17060302,rmax,1982-07-01,78.123
Lower Selway,17060302,rmax,1982-08-01,75.145
Lower Selway,17060302,rmax,1982-09-01,85.759
Lower Selway,17060302,rmax,1982-10-01,92.572
Lower Selway,17060302,rmax,1982-11-01,94.902
Lower Selway,17060302,rmax,1982-12-01,96.275
Lower Selway,17060302,rmax,1983-01-01,93.896
Lower Selway,17060302,rmax,1983-02-01,95.423
Lower Selway,17060302,rmax,1983-03-01,96.955
Lower Selway,17060302,rmax,1983-04-01,90.31
Lower Selway,17060302,rmax,1983-05-01,81.601
Lower Selway,17060302,rmax,1983-06-01,84.525
Lower Selway,17060302,rmax,1983-07-01,79.693
Lower Selway,17060302,rmax,1983-08-01,76.478
Lower Selway,17060302,rmax,1983-09-01,84.984
Lower Selway,17060302,rmax,1983-10-01,89.953
Lower Selway,17060302,rmax,1983-11-01,98.917
Lower Selway,17060302,rmax,1983-12-01,94.869
Lower Selway,17060302,rmax,1984-01-01,93.488
Lower Selway,17060302,rmax,1984-02-01,94.624
Lower Selway,17060302,rmax,1984-03-01,97.898
Lower Selway,17060302,rmax,1984-04-01,92.704
Lower Selway,17060302,rmax,1984-05-01,89.698
Lower Selway,17060302,rmax,1984-06-01,89.524
Lower Selway,17060302,rmax,1984-07-01,75.077
Lower Selway,17060302,rmax,1984-08-01,74.367
Lower Selway,17060302,rmax,1984-09-01,87.446
Lower Selway,17060302,rmax,1984-10-01,93.308
Lower Selway,17060302,rmax,1984-11-01,98.472
Lower Selway,17060302,rmax,1984-12-01,96.001
Lower Selway,17060302,rmax,1985-01-01,94.937
Lower Selway,17060302,rmax,1985-02-01,96.613
Lower Selway,17060302,rmax,1985-03-01,96.828
Lower Selway,17060302,rmax,1985-04-01,90.704
Lower Selway,17060302,rmax,1985-05-01,83.446
Lower Selway,17060302,rmax,1985-06-01,72.612
Lower Selway,17060302,rmax,1985-07-01,57.972
Lower Selway,17060302,rmax,1985-08-01,89.377
Lower Selway,17060302,rmax,1985-09-01,92.921
Lower Selway,17060302,rmax,1985-10-01,90.781
Lower Selway,17060302,rmax,1985-11-01,92.387
Lower Selway,17060302,rmax,1985-12-01,84.967
Lower Selway,17060302,rmax,1986-01-01,95.26
Lower Selway,17060302,rmax,1986-02-01,97.072
Lower Selway,17060302,rmax,1986-03-01,95.733
Lower Selway,17060302,rmax,1986-04-01,94.08
Lower Selway,17060302,rmax,1986-05-01,80.456
Lower Selway,17060302,rmax,1986-06-01,74.145
Lower Selway,17060302,rmax,1986-07-01,77.109
Lower Selway,17060302,rmax,1986-08-01,65.146
Lower Selway,17060302,rmax,1986-09-01,98.125
Lower Selway,17060302,rmax,1986-10-01,93.077
Lower Selway,17060302,rmax,1986-11-01,97.64
Lower Selway,17060302,rmax,1986-12-01,96.351
Lower Selway,17060302,rmax,1987-01-01,96.851
Lower Selway,17060302,rmax,1987-02-01,94.367
Lower Selway,17060302,rmax,1987-03-01,95.531
Lower Selway,17060302,rmax,1987-04-01,83.336
Lower Selway,17060302,rmax,1987-05-01,82.301
Lower Selway,17060302,rmax,1987-06-01,73.171
Lower Selway,17060302,rmax,1987-07-01,82.683
Lower Selway,17060302,rmax,1987-08-01,75.623
Lower Selway,17060302,rmax,1987-09-01,70.098
Lower Selway,17060302,rmax,1987-10-01,68.048
Lower Selway,17060302,rmax,1987-11-01,91.945
Lower Selway,17060302,rmax,1987-12-01,97
Lower Selway,17060302,rmax,1988-01-01,91.968
Lower Selway,17060302,rmax,1988-02-01,90.899
Lower Selway,17060302,rmax,1988-03-01,94.133
Lower Selway,17060302,rmax,1988-04-01,87.458
Lower Selway,17060302,rmax,1988-05-01,86.476
Lower Selway,17060302,rmax,1988-06-01,75.582
Lower Selway,17060302,rmax,1988-07-01,64.198
Lower Selway,17060302,rmax,1988-08-01,62.791
Lower Selway,17060302,rmax,1988-09-01,75.455
Lower Selway,17060302,rmax,1988-10-01,77.532
Lower Selway,17060302,rmax,1988-11-01,98.454
Lower Selway,17060302,rmax,1988-12-01,92.987
Lower Selway,17060302,rmax,1989-01-01,96.241
Lower Selway,17060302,rmax,1989-02-01,85.541
Lower Selway,17060302,rmax,1989-03-01,97.539
Lower Selway,17060302,rmax,1989-04-01,85.707
Lower Selway,17060302,rmax,1989-05-01,88.933
Lower Selway,17060302,rmax,1989-06-01,76.549
Lower Selway,17060302,rmax,1989-07-01,67.204
Lower Selway,17060302,rmax,1989-08-01,85
Lower Selway,17060302,rmax,1989-09-01,80.316
Lower Selway,17060302,rmax,1989-10-01,92.963
Lower Selway,17060302,rmax,1989-11-01,94.495
Lower Selway,17060302,rmax,1989-12-01,95.262
Lower Selway,17060302,rmax,1990-01-01,96.725
Lower Selway,17060302,rmax,1990-02-01,97.591
Lower Selway,17060302,rmax,1990-03-01,95.136
Lower Selway,17060302,rmax,1990-04-01,89.063
Lower Selway,17060302,rmax,1990-05-01,91.313
Lower Selway,17060302,rmax,1990-06-01,79.136
Lower Selway,17060302,rmax,1990-07-01,70.683
Lower Selway,17060302,rmax,1990-08-01,80.998
Lower Selway,17060302,rmax,1990-09-01,73.333
Lower Selway,17060302,rmax,1990-10-01,92.608
Lower Selway,17060302,rmax,1990-11-01,95.852
Lower Selway,17060302,rmax,1990-12-01,93.853
Lower Selway,17060302,rmax,1991-01-01,92.882
Lower Selway,17060302,rmax,1991-02-01,92.963
Lower Selway,17060302,rmax,1991-03-01,94.693
Lower Selway,17060302,rmax,1991-04-01,93.569
Lower Selway,17060302,rmax,1991-05-01,88.471
Lower Selway,17060302,rmax,1991-06-01,90.283
Lower Selway,17060302,rmax,1991-07-01,76.562
Lower Selway,17060302,rmax,1991-08-01,75.242
Lower Selway,17060302,rmax,1991-09-01,75.575
Lower Selway,17060302,rmax,1991-10-01,80.213
Lower Selway,17060302,rmax,1991-11-01,96.126
Lower Selway,17060302,rmax,1991-12-01,96.065
Lower Selway,17060302,rmax,1992-01-01,97.435
Lower Selway,17060302,rmax,1992-02-01,94.093
Lower Selway,17060302,rmax,1992-03-01,91.443
Lower Selway,17060302,rmax,1992-04-01,91.701
Lower Selway,17060302,rmax,1992-05-01,73.031
Lower Selway,17060302,rmax,1992-06-01,74.956
Lower Selway,17060302,rmax,1992-07-01,89.725
Lower Selway,17060302,rmax,1992-08-01,69.602
Lower Selway,17060302,rmax,1992-09-01,84.525
Lower Selway,17060302,rmax,1992-10-01,88.961
Lower Selway,17060302,rmax,1992-11-01,98.422
Lower Selway,17060302,rmax,1992-12-01,95.934
Lower Selway,17060302,rmax,1993-01-01,91.673
Lower Selway,17060302,rmax,1993-02-01,95.784
Lower Selway,17060302,rmax,1993-03-01,90.776
Lower Selway,17060302,rmax,1993-04-01,98.066
Lower Selway,17060302,rmax,1993-05-01,84.324
Lower Selway,17060302,rmax,1993-06-01,84.276
Lower Selway,17060302,rmax,1993-07-01,91.677
Lower Selway,17060302,rmax,1993-08-01,87.274
Lower Selway,17060302,rmax,1993-09-01,70.989
Lower Selway,17060302,rmax,1993-10-01,90.653
Lower Selway,17060302,rmax,1993-11-01,85.982
Lower Selway,17060302,rmax,1993-12-01,96.511
Lower Selway,17060302,rmax,1994-01-01,97.071
Lower Selway,17060302,rmax,1994-02-01,92.624
Lower Selway,17060302,rmax,1994-03-01,86.32
Lower Selway,17060302,rmax,1994-04-01,84.231
Lower Selway,17060302,rmax,1994-05-01,85.905
Lower Selway,17060302,rmax,1994-06-01,78.439
Lower Selway,17060302,rmax,1994-07-01,66.347
Lower Selway,17060302,rmax,1994-08-01,70.972
Lower Selway,17060302,rmax,1994-09-01,78.549
Lower Selway,17060302,rmax,1994-10-01,92.739
Lower Selway,17060302,rmax,1994-11-01,99.34
Lower Selway,17060302,rmax,1994-12-01,97.39
Lower Selway,17060302,rmax,1995-01-01,93.838
Lower Selway,17060302,rmax,1995-02-01,98.503
Lower Selway,17060302,rmax,1995-03-01,98.698
Lower Selway,17060302,rmax,1995-04-01,97.819
Lower Selway,17060302,rmax,1995-05-01,88.963
