name,id,variable,date,value
Wheatland County,30107,rmin,1979-01-01,41.06
Wheatland County,30107,rmin,1979-02-01,39.606
Wheatland County,30107,rmin,1979-03-01,38.231
Wheatland County,30107,rmin,1979-04-01,31.599
Wheatland County,30107,rmin,1979-05-01,30.527
Wheatland County,30107,rmin,1979-06-01,25.113
Wheatland County,30107,rmin,1979-07-01,23.394
Wheatland County,30107,rmin,1979-08-01,23.586
Wheatland County,30107,rmin,1979-09-01,18.978
Wheatland County,30107,rmin,1979-10-01,25.439
Wheatland County,30107,rmin,1979-11-01,34.159
Wheatland County,30107,rmin,1979-12-01,29.736
Wheatland County,30107,rmin,1980-01-01,37.918
Wheatland County,30107,rmin,1980-02-01,40.317
Wheatland County,30107,rmin,1980-03-01,37.977
Wheatland County,30107,rmin,1980-04-01,25.853
Wheatland County,30107,rmin,1980-05-01,25.926
Wheatland County,30107,rmin,1980-06-01,29.885
Wheatland County,30107,rmin,1980-07-01,22.028
Wheatland County,30107,rmin,1980-08-01,24.321
Wheatland County,30107,rmin,1980-09-01,26.807
Wheatland County,30107,rmin,1980-10-01,28.754
Wheatland County,30107,rmin,1980-11-01,32.83
Wheatland County,30107,rmin,1980-12-01,37.261
Wheatland County,30107,rmin,1981-01-01,31.338
Wheatland County,30107,rmin,1981-02-01,32.312
Wheatland County,30107,rmin,1981-03-01,27.239
Wheatland County,30107,rmin,1981-04-01,24.462
Wheatland County,30107,rmin,1981-05-01,38.035
Wheatland County,30107,rmin,1981-06-01,33.463
Wheatland County,30107,rmin,1981-07-01,25.598
Wheatland County,30107,rmin,1981-08-01,21.934
Wheatland County,30107,rmin,1981-09-01,20.921
Wheatland County,30107,rmin,1981-10-01,35.122
Wheatland County,30107,rmin,1981-11-01,35.732
Wheatland County,30107,rmin,1981-12-01,39.674
Wheatland County,30107,rmin,1982-01-01,38.085
Wheatland County,30107,rmin,1982-02-01,29.782
Wheatland County,30107,rmin,1982-03-01,39.582
Wheatland County,30107,rmin,1982-04-01,30.172
Wheatland County,30107,rmin,1982-05-01,31.298
Wheatland County,30107,rmin,1982-06-01,35.55
Wheatland County,30107,rmin,1982-07-01,30.383
Wheatland County,30107,rmin,1982-08-01,23.888
Wheatland County,30107,rmin,1982-09-01,32.624
Wheatland County,30107,rmin,1982-10-01,34.141
