name,id,variable,date,value
Middle Kootenai,17010101,shr,1986-01-01,2.727
Middle Kootenai,17010101,shr,1987-01-01,2.492
Middle Kootenai,17010101,shr,1988-01-01,3.498
Middle Kootenai,17010101,shr,1989-01-01,3.108
Middle Kootenai,17010101,shr,1990-01-01,2.366
Middle Kootenai,17010101,shr,1991-01-01,1.719
Middle Kootenai,17010101,shr,1992-01-01,3.346
Middle Kootenai,17010101,shr,1993-01-01,4.259
Middle Kootenai,17010101,shr,1994-01-01,2.751
Middle Kootenai,17010101,shr,1995-01-01,2.804
Middle Kootenai,17010101,shr,1996-01-01,2.286
Middle Kootenai,17010101,shr,1997-01-01,2.666
Middle Kootenai,17010101,shr,1998-01-01,2.918
Middle Kootenai,17010101,shr,1999-01-01,3.059
Middle Kootenai,17010101,shr,2000-01-01,2.918
Middle Kootenai,17010101,shr,2001-01-01,3.739
Middle Kootenai,17010101,shr,2002-01-01,3.821
Middle Kootenai,17010101,shr,2003-01-01,3.783
Middle Kootenai,17010101,shr,2004-01-01,3.92
Middle Kootenai,17010101,shr,2005-01-01,3.056
Middle Kootenai,17010101,shr,2006-01-01,2.896
Middle Kootenai,17010101,shr,2007-01-01,3.184
Middle Kootenai,17010101,shr,2008-01-01,2.682
Middle Kootenai,17010101,shr,2009-01-01,3.098
Middle Kootenai,17010101,shr,2010-01-01,2.842
Middle Kootenai,17010101,shr,2011-01-01,2.393
Middle Kootenai,17010101,shr,2012-01-01,2.716
Middle Kootenai,17010101,shr,2013-01-01,3.326
Middle Kootenai,17010101,shr,2014-01-01,3.103
Middle Kootenai,17010101,shr,2015-01-01,3.726
Middle Kootenai,17010101,shr,2016-01-01,4.014
Middle Kootenai,17010101,shr,2017-01-01,2.436
Middle Kootenai,17010101,shr,2018-01-01,2.881
Middle Kootenai,17010101,shr,2019-01-01,2.707
Middle Kootenai,17010101,shr,2020-01-01,2.403
