name,id,variable,date,value
Malta,malta,tmmn,1980-09-01,41.689
Malta,malta,tmmn,1979-01-01,-9.774
Malta,malta,tmmn,1979-02-01,-2.898
Malta,malta,tmmn,1979-03-01,19.344
Malta,malta,tmmn,1979-04-01,27.331
Malta,malta,tmmn,1979-05-01,37.161
Malta,malta,tmmn,1979-06-01,46.14
Malta,malta,tmmn,1979-07-01,51.854
Malta,malta,tmmn,1979-08-01,51.051
Malta,malta,tmmn,1979-09-01,42.892
Malta,malta,tmmn,1979-10-01,33.379
Malta,malta,tmmn,1979-11-01,17.048
Malta,malta,tmmn,1979-12-01,15.013
Malta,malta,tmmn,1980-01-01,-1.292
Malta,malta,tmmn,1980-02-01,10.486
Malta,malta,tmmn,1980-03-01,16.616
Malta,malta,tmmn,1980-04-01,35.048
Malta,malta,tmmn,1980-05-01,41.197
Malta,malta,tmmn,1980-06-01,47.195
Malta,malta,tmmn,1980-07-01,51.315
Malta,malta,tmmn,1980-08-01,46.351
Malta,malta,tmmn,1980-10-01,32.551
Malta,malta,tmmn,1980-11-01,22.867
Malta,malta,tmmn,1980-12-01,9.763
Malta,malta,tmmn,1981-01-01,16.926
Malta,malta,tmmn,1981-02-01,15.496
Malta,malta,tmmn,1981-03-01,23.108
Malta,malta,tmmn,1981-04-01,31.731
Malta,malta,tmmn,1981-05-01,41.952
Malta,malta,tmmn,1981-06-01,44.176
Malta,malta,tmmn,1981-07-01,50.543
Malta,malta,tmmn,1981-08-01,51.608
Malta,malta,tmmn,1981-09-01,40.872
Malta,malta,tmmn,1981-10-01,30.731
Malta,malta,tmmn,1981-11-01,24.506
Malta,malta,tmmn,1981-12-01,8.578
Malta,malta,tmmn,1982-01-01,-11.381
Malta,malta,tmmn,1982-02-01,3.502
Malta,malta,tmmn,1982-03-01,17.17
Malta,malta,tmmn,1982-04-01,25.713
Malta,malta,tmmn,1982-05-01,36.937
Malta,malta,tmmn,1982-06-01,47.001
Malta,malta,tmmn,1982-07-01,51.136
Malta,malta,tmmn,1982-08-01,49.488
Malta,malta,tmmn,1982-09-01,39.18
Malta,malta,tmmn,1982-10-01,31.311
Malta,malta,tmmn,1982-11-01,14.028
Malta,malta,tmmn,1982-12-01,12.741
Malta,malta,tmmn,1983-01-01,14.856
Malta,malta,tmmn,1983-02-01,20.817
Malta,malta,tmmn,1983-03-01,23.546
Malta,malta,tmmn,1983-04-01,27.046
Malta,malta,tmmn,1983-05-01,37.281
Malta,malta,tmmn,1983-06-01,46.09
Malta,malta,tmmn,1983-07-01,51.768
Malta,malta,tmmn,1983-08-01,55.185
Malta,malta,tmmn,1983-09-01,38.199
Malta,malta,tmmn,1983-10-01,33.437
Malta,malta,tmmn,1983-11-01,20.722
Malta,malta,tmmn,1983-12-01,-10.572
Malta,malta,tmmn,1984-01-01,13.649
Malta,malta,tmmn,1984-02-01,22.136
Malta,malta,tmmn,1984-03-01,21.329
Malta,malta,tmmn,1984-04-01,30.47
Malta,malta,tmmn,1984-05-01,37.916
Malta,malta,tmmn,1984-06-01,46.77
Malta,malta,tmmn,1984-07-01,52.59
Malta,malta,tmmn,1984-08-01,52.987
Malta,malta,tmmn,1984-09-01,36.44
Malta,malta,tmmn,1984-10-01,26.137
Malta,malta,tmmn,1984-11-01,20.55
Malta,malta,tmmn,1984-12-01,-2.129
Malta,malta,tmmn,1985-01-01,3.428
Malta,malta,tmmn,1985-02-01,6.618
Malta,malta,tmmn,1985-03-01,20.216
Malta,malta,tmmn,1985-04-01,33.715
Malta,malta,tmmn,1985-05-01,41.996
Malta,malta,tmmn,1985-06-01,43.924
Malta,malta,tmmn,1985-07-01,53.499
Malta,malta,tmmn,1985-08-01,48.787
Malta,malta,tmmn,1985-09-01,36.823
Malta,malta,tmmn,1985-10-01,30.132
Malta,malta,tmmn,1985-11-01,0.188
Malta,malta,tmmn,1985-12-01,10.639
Malta,malta,tmmn,1986-01-01,20.785
Malta,malta,tmmn,1986-02-01,4.328
Malta,malta,tmmn,1986-03-01,29.931
Malta,malta,tmmn,1986-04-01,28.891
Malta,malta,tmmn,1986-05-01,41.16
Malta,malta,tmmn,1986-06-01,50.344
Malta,malta,tmmn,1986-07-01,49.458
Malta,malta,tmmn,1986-08-01,50.312
Malta,malta,tmmn,1986-09-01,39.731
Malta,malta,tmmn,1986-10-01,32.899
Malta,malta,tmmn,1986-11-01,15.562
Malta,malta,tmmn,1986-12-01,16.747
Malta,malta,tmmn,1987-01-01,14.874
Malta,malta,tmmn,1987-02-01,18.362
Malta,malta,tmmn,1987-03-01,23.994
Malta,malta,tmmn,1987-04-01,35.658
Malta,malta,tmmn,1987-05-01,42.963
Malta,malta,tmmn,1987-06-01,49.154
Malta,malta,tmmn,1987-07-01,52.687
Malta,malta,tmmn,1987-08-01,46.139
Malta,malta,tmmn,1987-09-01,41.285
Malta,malta,tmmn,1987-10-01,28.793
Malta,malta,tmmn,1987-11-01,22.413
Malta,malta,tmmn,1987-12-01,13.732
Malta,malta,tmmn,1988-01-01,3.755
Malta,malta,tmmn,1988-02-01,11.217
Malta,malta,tmmn,1988-03-01,22.62
Malta,malta,tmmn,1988-04-01,30.737
Malta,malta,tmmn,1988-05-01,42.981
Malta,malta,tmmn,1988-06-01,54.189
Malta,malta,tmmn,1988-07-01,52.605
Malta,malta,tmmn,1988-08-01,49.468
Malta,malta,tmmn,1988-09-01,40.563
Malta,malta,tmmn,1988-10-01,31.626
Malta,malta,tmmn,1988-11-01,19.601
Malta,malta,tmmn,1988-12-01,11.242
Malta,malta,tmmn,1989-01-01,9.572
Malta,malta,tmmn,1989-02-01,-2.112
Malta,malta,tmmn,1989-03-01,15.983
Malta,malta,tmmn,1989-04-01,29.917
Malta,malta,tmmn,1989-05-01,39.916
Malta,malta,tmmn,1989-06-01,47.249
Malta,malta,tmmn,1989-07-01,54.849
Malta,malta,tmmn,1989-08-01,50.401
Malta,malta,tmmn,1989-09-01,39.945
Malta,malta,tmmn,1989-10-01,30.389
Malta,malta,tmmn,1989-11-01,22.984
Malta,malta,tmmn,1989-12-01,9.122
Malta,malta,tmmn,1990-01-01,15.132
Malta,malta,tmmn,1990-02-01,11.878
Malta,malta,tmmn,1990-03-01,22.123
Malta,malta,tmmn,1990-04-01,29.248
Malta,malta,tmmn,1990-05-01,39.156
