name,id,variable,date,value
Madison County,30057,tmmn,1979-01-01,-6.014
Madison County,30057,tmmn,1979-02-01,13.065
Madison County,30057,tmmn,1979-03-01,18.1
Madison County,30057,tmmn,1979-04-01,25.29
Madison County,30057,tmmn,1979-05-01,32.009
Madison County,30057,tmmn,1979-06-01,39.7
Madison County,30057,tmmn,1979-07-01,44.584
Madison County,30057,tmmn,1979-08-01,44.951
Madison County,30057,tmmn,1979-09-01,37.212
Madison County,30057,tmmn,1979-10-01,29.434
Madison County,30057,tmmn,1979-11-01,11.851
Madison County,30057,tmmn,1979-12-01,18.14
Madison County,30057,tmmn,1980-01-01,3.362
Madison County,30057,tmmn,1980-02-01,16.715
Madison County,30057,tmmn,1980-03-01,16.916
Madison County,30057,tmmn,1980-04-01,27.017
Madison County,30057,tmmn,1980-05-01,35.18
Madison County,30057,tmmn,1980-06-01,39.94
Madison County,30057,tmmn,1980-07-01,45.495
Madison County,30057,tmmn,1980-08-01,41.62
Madison County,30057,tmmn,1980-09-01,38.724
Madison County,30057,tmmn,1980-10-01,27.397
Madison County,30057,tmmn,1980-11-01,19.449
Madison County,30057,tmmn,1980-12-01,20.265
Madison County,30057,tmmn,1981-01-01,15.657
Madison County,30057,tmmn,1981-02-01,14.232
Madison County,30057,tmmn,1981-03-01,20.482
Madison County,30057,tmmn,1981-04-01,27.49
Madison County,30057,tmmn,1981-05-01,34.727
Madison County,30057,tmmn,1981-06-01,38.735
Madison County,30057,tmmn,1981-07-01,43.536
Madison County,30057,tmmn,1981-08-01,44.394
Madison County,30057,tmmn,1981-09-01,36.613
Madison County,30057,tmmn,1981-10-01,27.545
Madison County,30057,tmmn,1981-11-01,21.424
Madison County,30057,tmmn,1981-12-01,14.907
Madison County,30057,tmmn,1982-01-01,7.631
Madison County,30057,tmmn,1982-02-01,9.585
Madison County,30057,tmmn,1982-03-01,19.79
Madison County,30057,tmmn,1982-04-01,19.564
Madison County,30057,tmmn,1982-05-01,29.933
Madison County,30057,tmmn,1982-06-01,40.047
Madison County,30057,tmmn,1982-07-01,45.163
Madison County,30057,tmmn,1982-08-01,45.094
Madison County,30057,tmmn,1982-09-01,35.814
Madison County,30057,tmmn,1982-10-01,27.95
Madison County,30057,tmmn,1982-11-01,14.452
Madison County,30057,tmmn,1982-12-01,11.026
Madison County,30057,tmmn,1983-01-01,17.243
Madison County,30057,tmmn,1983-02-01,16.953
Madison County,30057,tmmn,1983-03-01,21.684
Madison County,30057,tmmn,1983-04-01,21.352
Madison County,30057,tmmn,1983-05-01,30.48
Madison County,30057,tmmn,1983-06-01,38.832
Madison County,30057,tmmn,1983-07-01,44.632
Madison County,30057,tmmn,1983-08-01,48.295
Madison County,30057,tmmn,1983-09-01,34.681
Madison County,30057,tmmn,1983-10-01,29.668
Madison County,30057,tmmn,1983-11-01,18.444
Madison County,30057,tmmn,1983-12-01,0.086
Madison County,30057,tmmn,1984-01-01,11.604
Madison County,30057,tmmn,1984-02-01,12.582
Madison County,30057,tmmn,1984-03-01,20.299
Madison County,30057,tmmn,1984-04-01,22.03
Madison County,30057,tmmn,1984-05-01,32.125
Madison County,30057,tmmn,1984-06-01,37.677
Madison County,30057,tmmn,1984-07-01,46.729
Madison County,30057,tmmn,1984-08-01,46.4
Madison County,30057,tmmn,1984-09-01,32.672
Madison County,30057,tmmn,1984-10-01,23.221
Madison County,30057,tmmn,1984-11-01,18
Madison County,30057,tmmn,1984-12-01,5.169
Madison County,30057,tmmn,1985-01-01,4.367
