name,id,variable,date,value
Toole County,30101,tmmx,1979-01-01,14.106
Toole County,30101,tmmx,1979-02-01,25.403
Toole County,30101,tmmx,1979-03-01,45.012
Toole County,30101,tmmx,1979-04-01,50.839
Toole County,30101,tmmx,1979-05-01,63.229
Toole County,30101,tmmx,1979-06-01,76.452
Toole County,30101,tmmx,1979-07-01,82.016
Toole County,30101,tmmx,1979-08-01,82.18
Toole County,30101,tmmx,1979-09-01,76.888
Toole County,30101,tmmx,1979-10-01,61.386
Toole County,30101,tmmx,1979-11-01,41.996
Toole County,30101,tmmx,1979-12-01,42.306
Toole County,30101,tmmx,1980-01-01,22.709
Toole County,30101,tmmx,1980-02-01,34.982
Toole County,30101,tmmx,1980-03-01,39.881
Toole County,30101,tmmx,1980-04-01,64.224
Toole County,30101,tmmx,1980-05-01,69.918
Toole County,30101,tmmx,1980-06-01,72.573
Toole County,30101,tmmx,1980-07-01,82.739
Toole County,30101,tmmx,1980-08-01,73.009
Toole County,30101,tmmx,1980-09-01,70.722
Toole County,30101,tmmx,1980-10-01,60.313
Toole County,30101,tmmx,1980-11-01,46.247
Toole County,30101,tmmx,1980-12-01,29.943
Toole County,30101,tmmx,1981-01-01,42.271
Toole County,30101,tmmx,1981-02-01,39.965
Toole County,30101,tmmx,1981-03-01,50.354
Toole County,30101,tmmx,1981-04-01,59.508
Toole County,30101,tmmx,1981-05-01,64.387
Toole County,30101,tmmx,1981-06-01,69.802
Toole County,30101,tmmx,1981-07-01,80.308
Toole County,30101,tmmx,1981-08-01,85.476
Toole County,30101,tmmx,1981-09-01,74.361
Toole County,30101,tmmx,1981-10-01,56.56
Toole County,30101,tmmx,1981-11-01,49.142
Toole County,30101,tmmx,1981-12-01,31.177
Toole County,30101,tmmx,1982-01-01,15.579
Toole County,30101,tmmx,1982-02-01,28.877
Toole County,30101,tmmx,1982-03-01,37.608
Toole County,30101,tmmx,1982-04-01,51.539
Toole County,30101,tmmx,1982-05-01,62.891
Toole County,30101,tmmx,1982-06-01,74.318
Toole County,30101,tmmx,1982-07-01,79.521
Toole County,30101,tmmx,1982-08-01,80.575
Toole County,30101,tmmx,1982-09-01,67.553
Toole County,30101,tmmx,1982-10-01,58.116
Toole County,30101,tmmx,1982-11-01,37.147
Toole County,30101,tmmx,1982-12-01,34.74
Toole County,30101,tmmx,1983-01-01,39.377
Toole County,30101,tmmx,1983-02-01,44.835
Toole County,30101,tmmx,1983-03-01,44.496
Toole County,30101,tmmx,1983-04-01,56.169
Toole County,30101,tmmx,1983-05-01,65.979
Toole County,30101,tmmx,1983-06-01,72.647
Toole County,30101,tmmx,1983-07-01,80.213
Toole County,30101,tmmx,1983-08-01,87.385
Toole County,30101,tmmx,1983-09-01,65.989
