name,id,variable,date,value
St. Joe,17010304,tmmx,1979-01-01,19.306
St. Joe,17010304,tmmx,1979-02-01,32.795
St. Joe,17010304,tmmx,1979-03-01,44.026
St. Joe,17010304,tmmx,1979-04-01,49.783
St. Joe,17010304,tmmx,1979-05-01,62.59
St. Joe,17010304,tmmx,1979-06-01,71.521
St. Joe,17010304,tmmx,1979-07-01,79.983
St. Joe,17010304,tmmx,1979-08-01,78.572
St. Joe,17010304,tmmx,1979-09-01,72.045
St. Joe,17010304,tmmx,1979-10-01,55.173
St. Joe,17010304,tmmx,1979-11-01,35.234
St. Joe,17010304,tmmx,1979-12-01,36.146
St. Joe,17010304,tmmx,1980-01-01,26.559
St. Joe,17010304,tmmx,1980-02-01,36.832
St. Joe,17010304,tmmx,1980-03-01,39.18
St. Joe,17010304,tmmx,1980-04-01,56.824
St. Joe,17010304,tmmx,1980-05-01,59.875
St. Joe,17010304,tmmx,1980-06-01,64.314
St. Joe,17010304,tmmx,1980-07-01,75.825
St. Joe,17010304,tmmx,1980-08-01,70.419
St. Joe,17010304,tmmx,1980-09-01,65.895
St. Joe,17010304,tmmx,1980-10-01,55.767
St. Joe,17010304,tmmx,1980-11-01,39.502
St. Joe,17010304,tmmx,1980-12-01,36.41
St. Joe,17010304,tmmx,1981-01-01,36.422
St. Joe,17010304,tmmx,1981-02-01,37.854
St. Joe,17010304,tmmx,1981-03-01,47.74
St. Joe,17010304,tmmx,1981-04-01,50.764
St. Joe,17010304,tmmx,1981-05-01,56.788
St. Joe,17010304,tmmx,1981-06-01,61.76
St. Joe,17010304,tmmx,1981-07-01,74.875
St. Joe,17010304,tmmx,1981-08-01,82.099
St. Joe,17010304,tmmx,1981-09-01,68.945
St. Joe,17010304,tmmx,1981-10-01,50.27
St. Joe,17010304,tmmx,1981-11-01,42.135
St. Joe,17010304,tmmx,1981-12-01,32.534
St. Joe,17010304,tmmx,1982-01-01,29.873
St. Joe,17010304,tmmx,1982-02-01,31.906
St. Joe,17010304,tmmx,1982-03-01,41.325
St. Joe,17010304,tmmx,1982-04-01,47.457
St. Joe,17010304,tmmx,1982-05-01,59.376
St. Joe,17010304,tmmx,1982-06-01,71.395
St. Joe,17010304,tmmx,1982-07-01,74.146
St. Joe,17010304,tmmx,1982-08-01,77.029
St. Joe,17010304,tmmx,1982-09-01,64.824
St. Joe,17010304,tmmx,1982-10-01,50.273
St. Joe,17010304,tmmx,1982-11-01,35.154
St. Joe,17010304,tmmx,1982-12-01,29.828
St. Joe,17010304,tmmx,1983-01-01,37.733
St. Joe,17010304,tmmx,1983-02-01,39.651
St. Joe,17010304,tmmx,1983-03-01,45.169
St. Joe,17010304,tmmx,1983-04-01,51.734
