name,id,variable,date,value
Crow,crow,tmmx,1982-02-01,38.651
Crow,crow,tmmx,1982-03-01,45.467
Crow,crow,tmmx,1982-04-01,54.8
Crow,crow,tmmx,1982-05-01,62.914
Crow,crow,tmmx,1982-06-01,72.788
Crow,crow,tmmx,1979-01-01,18.493
Crow,crow,tmmx,1979-02-01,33.817
Crow,crow,tmmx,1979-03-01,46.268
Crow,crow,tmmx,1979-04-01,55.974
Crow,crow,tmmx,1979-05-01,64.721
Crow,crow,tmmx,1979-06-01,79.428
Crow,crow,tmmx,1979-07-01,85.366
Crow,crow,tmmx,1979-08-01,83.007
Crow,crow,tmmx,1979-09-01,80.576
Crow,crow,tmmx,1979-10-01,63.373
Crow,crow,tmmx,1979-11-01,41.187
Crow,crow,tmmx,1979-12-01,46.117
Crow,crow,tmmx,1980-01-01,29.94
Crow,crow,tmmx,1980-02-01,39.895
Crow,crow,tmmx,1980-03-01,44.202
Crow,crow,tmmx,1980-04-01,64.838
Crow,crow,tmmx,1980-05-01,69.983
Crow,crow,tmmx,1980-06-01,78.752
Crow,crow,tmmx,1980-07-01,88.579
Crow,crow,tmmx,1980-08-01,79.488
Crow,crow,tmmx,1980-09-01,74.265
Crow,crow,tmmx,1980-10-01,60.9
Crow,crow,tmmx,1980-11-01,49.108
Crow,crow,tmmx,1980-12-01,41.744
Crow,crow,tmmx,1981-01-01,45.021
Crow,crow,tmmx,1981-02-01,43.206
Crow,crow,tmmx,1981-03-01,53.975
Crow,crow,tmmx,1981-04-01,62.824
Crow,crow,tmmx,1981-05-01,64.137
Crow,crow,tmmx,1981-06-01,73.845
Crow,crow,tmmx,1981-07-01,85.668
Crow,crow,tmmx,1981-08-01,85.851
Crow,crow,tmmx,1981-09-01,78.093
Crow,crow,tmmx,1981-10-01,57.644
Crow,crow,tmmx,1981-11-01,51.772
Crow,crow,tmmx,1981-12-01,38.143
Crow,crow,tmmx,1982-01-01,28.776
Crow,crow,tmmx,1982-07-01,83.507
Crow,crow,tmmx,1982-08-01,86.93
Crow,crow,tmmx,1982-09-01,68.582
Crow,crow,tmmx,1982-10-01,59.311
Crow,crow,tmmx,1982-11-01,41.68
Crow,crow,tmmx,1982-12-01,35.372
Crow,crow,tmmx,1983-01-01,43.916
Crow,crow,tmmx,1983-02-01,48.513
Crow,crow,tmmx,1983-03-01,49.7
Crow,crow,tmmx,1983-04-01,54.855
Crow,crow,tmmx,1983-05-01,63.338
Crow,crow,tmmx,1983-06-01,76.219
Crow,crow,tmmx,1983-07-01,88.594
Crow,crow,tmmx,1983-08-01,90.483
Crow,crow,tmmx,1983-09-01,70.177
Crow,crow,tmmx,1983-10-01,62.259
Crow,crow,tmmx,1983-11-01,42.943
Crow,crow,tmmx,1983-12-01,19.237
Crow,crow,tmmx,1984-01-01,37.678
Crow,crow,tmmx,1984-02-01,45.183
Crow,crow,tmmx,1984-03-01,46.768
Crow,crow,tmmx,1984-04-01,55.777
Crow,crow,tmmx,1984-05-01,67.901
Crow,crow,tmmx,1984-06-01,75.682
Crow,crow,tmmx,1984-07-01,87.877
Crow,crow,tmmx,1984-08-01,88.3
Crow,crow,tmmx,1984-09-01,67.404
Crow,crow,tmmx,1984-10-01,55.386
Crow,crow,tmmx,1984-11-01,47.097
Crow,crow,tmmx,1984-12-01,29.922
Crow,crow,tmmx,1985-01-01,29.481
Crow,crow,tmmx,1985-02-01,34.947
Crow,crow,tmmx,1985-03-01,45.371
Crow,crow,tmmx,1985-04-01,63.953
Crow,crow,tmmx,1985-05-01,73.295
Crow,crow,tmmx,1985-06-01,77.067
Crow,crow,tmmx,1985-07-01,88.384
Crow,crow,tmmx,1985-08-01,81.425
Crow,crow,tmmx,1985-09-01,64.818
Crow,crow,tmmx,1985-10-01,60.652
Crow,crow,tmmx,1985-11-01,24.097
Crow,crow,tmmx,1985-12-01,35.989
Crow,crow,tmmx,1986-01-01,44.738
Crow,crow,tmmx,1986-02-01,35.236
Crow,crow,tmmx,1986-03-01,57.555
Crow,crow,tmmx,1986-04-01,56.403
Crow,crow,tmmx,1986-05-01,68.003
