name,id,variable,date,value
Upper Tongue,10090101,tre,1986-01-01,6.216
Upper Tongue,10090101,tre,1987-01-01,8.225
Upper Tongue,10090101,tre,1988-01-01,8.447
Upper Tongue,10090101,tre,1989-01-01,8.214
Upper Tongue,10090101,tre,1990-01-01,7.658
Upper Tongue,10090101,tre,1991-01-01,7.459
Upper Tongue,10090101,tre,1992-01-01,7.547
Upper Tongue,10090101,tre,1993-01-01,6.379
Upper Tongue,10090101,tre,1994-01-01,6.878
Upper Tongue,10090101,tre,1995-01-01,7.951
Upper Tongue,10090101,tre,1996-01-01,6.421
Upper Tongue,10090101,tre,1997-01-01,6.532
Upper Tongue,10090101,tre,1998-01-01,6.972
Upper Tongue,10090101,tre,1999-01-01,8.135
Upper Tongue,10090101,tre,2000-01-01,9.555
Upper Tongue,10090101,tre,2001-01-01,9.374
Upper Tongue,10090101,tre,2002-01-01,9.89
Upper Tongue,10090101,tre,2003-01-01,8.937
Upper Tongue,10090101,tre,2004-01-01,9.331
Upper Tongue,10090101,tre,2005-01-01,10.05
Upper Tongue,10090101,tre,2006-01-01,9.927
Upper Tongue,10090101,tre,2007-01-01,9.598
Upper Tongue,10090101,tre,2008-01-01,10.116
Upper Tongue,10090101,tre,2009-01-01,10.32
Upper Tongue,10090101,tre,2010-01-01,10.125
Upper Tongue,10090101,tre,2011-01-01,9.505
Upper Tongue,10090101,tre,2012-01-01,10.329
Upper Tongue,10090101,tre,2013-01-01,11.213
Upper Tongue,10090101,tre,2014-01-01,11.991
Upper Tongue,10090101,tre,2015-01-01,12.118
Upper Tongue,10090101,tre,2016-01-01,12.433
Upper Tongue,10090101,tre,2017-01-01,12.725
Upper Tongue,10090101,tre,2018-01-01,12.841
Upper Tongue,10090101,tre,2019-01-01,13.162
Upper Tongue,10090101,tre,2020-01-01,13.05
