name,id,variable,date,value
Fort Belknap,fort-belknap,tre,1986-01-01,1.869
Fort Belknap,fort-belknap,tre,1987-01-01,2.268
Fort Belknap,fort-belknap,tre,1988-01-01,1.725
Fort Belknap,fort-belknap,tre,1989-01-01,1.687
Fort Belknap,fort-belknap,tre,1990-01-01,2.129
Fort Belknap,fort-belknap,tre,1991-01-01,2.205
Fort Belknap,fort-belknap,tre,1992-01-01,1.503
Fort Belknap,fort-belknap,tre,1993-01-01,1.267
Fort Belknap,fort-belknap,tre,1994-01-01,1.744
Fort Belknap,fort-belknap,tre,1995-01-01,1.998
Fort Belknap,fort-belknap,tre,1996-01-01,2.308
Fort Belknap,fort-belknap,tre,1997-01-01,1.806
Fort Belknap,fort-belknap,tre,1998-01-01,2.01
Fort Belknap,fort-belknap,tre,1999-01-01,2.47
Fort Belknap,fort-belknap,tre,2000-01-01,2.53
Fort Belknap,fort-belknap,tre,2001-01-01,2.452
Fort Belknap,fort-belknap,tre,2002-01-01,2.48
Fort Belknap,fort-belknap,tre,2003-01-01,2.483
Fort Belknap,fort-belknap,tre,2004-01-01,2.327
Fort Belknap,fort-belknap,tre,2005-01-01,2.419
Fort Belknap,fort-belknap,tre,2006-01-01,2.557
Fort Belknap,fort-belknap,tre,2007-01-01,2.558
Fort Belknap,fort-belknap,tre,2008-01-01,2.32
Fort Belknap,fort-belknap,tre,2009-01-01,2.558
Fort Belknap,fort-belknap,tre,2010-01-01,2.884
Fort Belknap,fort-belknap,tre,2011-01-01,3.186
Fort Belknap,fort-belknap,tre,2012-01-01,2.998
Fort Belknap,fort-belknap,tre,2013-01-01,3.569
Fort Belknap,fort-belknap,tre,2014-01-01,3.924
Fort Belknap,fort-belknap,tre,2015-01-01,3.886
Fort Belknap,fort-belknap,tre,2016-01-01,3.826
Fort Belknap,fort-belknap,tre,2017-01-01,3.068
Fort Belknap,fort-belknap,tre,2018-01-01,3.208
Fort Belknap,fort-belknap,tre,2019-01-01,3.691
Fort Belknap,fort-belknap,tre,2020-01-01,3.796
