name,id,variable,date,value
Deer Lodge County,30023,trenpp,1986-01-01,0.068
Deer Lodge County,30023,trenpp,1987-01-01,0.077
Deer Lodge County,30023,trenpp,1988-01-01,0.078
Deer Lodge County,30023,trenpp,1989-01-01,0.079
Deer Lodge County,30023,trenpp,1990-01-01,0.085
Deer Lodge County,30023,trenpp,1991-01-01,0.077
Deer Lodge County,30023,trenpp,1992-01-01,0.069
Deer Lodge County,30023,trenpp,1993-01-01,0.044
Deer Lodge County,30023,trenpp,1994-01-01,0.077
Deer Lodge County,30023,trenpp,1995-01-01,0.098
Deer Lodge County,30023,trenpp,1996-01-01,0.108
Deer Lodge County,30023,trenpp,1997-01-01,0.099
Deer Lodge County,30023,trenpp,1998-01-01,0.094
Deer Lodge County,30023,trenpp,1999-01-01,0.097
Deer Lodge County,30023,trenpp,2000-01-01,0.112
Deer Lodge County,30023,trenpp,2001-01-01,0.131
Deer Lodge County,30023,trenpp,2002-01-01,0.141
Deer Lodge County,30023,trenpp,2003-01-01,0.15
Deer Lodge County,30023,trenpp,2004-01-01,0.152
Deer Lodge County,30023,trenpp,2005-01-01,0.153
Deer Lodge County,30023,trenpp,2006-01-01,0.145
Deer Lodge County,30023,trenpp,2007-01-01,0.124
Deer Lodge County,30023,trenpp,2008-01-01,0.12
Deer Lodge County,30023,trenpp,2009-01-01,0.131
Deer Lodge County,30023,trenpp,2010-01-01,0.122
Deer Lodge County,30023,trenpp,2011-01-01,0.116
Deer Lodge County,30023,trenpp,2012-01-01,0.124
Deer Lodge County,30023,trenpp,2013-01-01,0.15
Deer Lodge County,30023,trenpp,2014-01-01,0.171
Deer Lodge County,30023,trenpp,2015-01-01,0.187
Deer Lodge County,30023,trenpp,2016-01-01,0.18
Deer Lodge County,30023,trenpp,2017-01-01,0.175
Deer Lodge County,30023,trenpp,2018-01-01,0.176
Deer Lodge County,30023,trenpp,2019-01-01,0.184
Deer Lodge County,30023,trenpp,2020-01-01,0.177
