name,id,variable,date,value
Miles City,miles-city,vpd,1979-01-01,0.766
Miles City,miles-city,vpd,1979-02-01,1.142
Miles City,miles-city,vpd,1979-03-01,2.228
Miles City,miles-city,vpd,1979-04-01,4.265
Miles City,miles-city,vpd,1979-05-01,7.468
Miles City,miles-city,vpd,1979-06-01,14.232
Miles City,miles-city,vpd,1979-07-01,15.814
Miles City,miles-city,vpd,1979-08-01,15.006
Miles City,miles-city,vpd,1979-09-01,14.677
Miles City,miles-city,vpd,1979-10-01,7.531
Miles City,miles-city,vpd,1979-11-01,2.728
Miles City,miles-city,vpd,1979-12-01,3.288
Miles City,miles-city,vpd,1980-01-01,1.667
Miles City,miles-city,vpd,1980-02-01,1.993
Miles City,miles-city,vpd,1980-03-01,3.289
Miles City,miles-city,vpd,1980-04-01,10.435
Miles City,miles-city,vpd,1980-05-01,13.243
Miles City,miles-city,vpd,1980-06-01,14.04
Miles City,miles-city,vpd,1980-07-01,20.35
Miles City,miles-city,vpd,1980-08-01,12.336
Miles City,miles-city,vpd,1980-09-01,11
Miles City,miles-city,vpd,1980-10-01,7.387
Miles City,miles-city,vpd,1980-11-01,4.163
Miles City,miles-city,vpd,1980-12-01,2.271
Miles City,miles-city,vpd,1981-01-01,2.645
Miles City,miles-city,vpd,1981-02-01,3.34
Miles City,miles-city,vpd,1981-03-01,5.508
Miles City,miles-city,vpd,1981-04-01,8.896
Miles City,miles-city,vpd,1981-05-01,8.404
Miles City,miles-city,vpd,1981-06-01,10.299
Miles City,miles-city,vpd,1981-07-01,18.055
Miles City,miles-city,vpd,1981-08-01,17.32
Miles City,miles-city,vpd,1981-09-01,14.469
Miles City,miles-city,vpd,1981-10-01,5.799
Miles City,miles-city,vpd,1981-11-01,4.235
Miles City,miles-city,vpd,1981-12-01,1.685
Miles City,miles-city,vpd,1982-01-01,1.243
Miles City,miles-city,vpd,1982-02-01,2.397
Miles City,miles-city,vpd,1982-03-01,2.528
Miles City,miles-city,vpd,1982-04-01,6.115
Miles City,miles-city,vpd,1982-05-01,6.505
Miles City,miles-city,vpd,1982-06-01,9.434
Miles City,miles-city,vpd,1982-07-01,14.858
Miles City,miles-city,vpd,1982-08-01,16.628
Miles City,miles-city,vpd,1982-09-01,10.122
Miles City,miles-city,vpd,1982-10-01,5.34
Miles City,miles-city,vpd,1982-11-01,2.431
Miles City,miles-city,vpd,1982-12-01,1.559
Miles City,miles-city,vpd,1983-01-01,1.834
Miles City,miles-city,vpd,1983-02-01,3.167
Miles City,miles-city,vpd,1983-03-01,2.855
Miles City,miles-city,vpd,1983-04-01,6.058
Miles City,miles-city,vpd,1983-05-01,7.963
Miles City,miles-city,vpd,1983-06-01,12.287
Miles City,miles-city,vpd,1983-07-01,19.004
Miles City,miles-city,vpd,1983-08-01,22.629
Miles City,miles-city,vpd,1983-09-01,10.93
Miles City,miles-city,vpd,1983-10-01,6.666
Miles City,miles-city,vpd,1983-11-01,3.03
Miles City,miles-city,vpd,1983-12-01,0.945
Miles City,miles-city,vpd,1984-01-01,2.18
Miles City,miles-city,vpd,1984-02-01,3.152
Miles City,miles-city,vpd,1984-03-01,2.826
Miles City,miles-city,vpd,1984-04-01,6.817
Miles City,miles-city,vpd,1984-05-01,10.903
Miles City,miles-city,vpd,1984-06-01,11.812
Miles City,miles-city,vpd,1984-07-01,21.002
Miles City,miles-city,vpd,1984-08-01,20.963
Miles City,miles-city,vpd,1984-09-01,9.671
Miles City,miles-city,vpd,1984-10-01,5.811
Miles City,miles-city,vpd,1984-11-01,3.167
Miles City,miles-city,vpd,1984-12-01,1.241
Miles City,miles-city,vpd,1985-01-01,1.385
Miles City,miles-city,vpd,1985-02-01,2.46
Miles City,miles-city,vpd,1985-03-01,3.476
Miles City,miles-city,vpd,1985-04-01,8.946
Miles City,miles-city,vpd,1985-05-01,12.625
Miles City,miles-city,vpd,1985-06-01,13.025
Miles City,miles-city,vpd,1985-07-01,21.586
Miles City,miles-city,vpd,1985-08-01,13.943
Miles City,miles-city,vpd,1985-09-01,7.274
Miles City,miles-city,vpd,1985-10-01,6.141
Miles City,miles-city,vpd,1985-11-01,1.803
Miles City,miles-city,vpd,1985-12-01,1.657
Miles City,miles-city,vpd,1986-01-01,1.958
Miles City,miles-city,vpd,1986-02-01,1.662
Miles City,miles-city,vpd,1986-03-01,5.351
Miles City,miles-city,vpd,1986-04-01,5.531
Miles City,miles-city,vpd,1986-05-01,9.61
Miles City,miles-city,vpd,1986-06-01,14.282
Miles City,miles-city,vpd,1986-07-01,15.278
Miles City,miles-city,vpd,1986-08-01,17.388
Miles City,miles-city,vpd,1986-09-01,5.372
Miles City,miles-city,vpd,1986-10-01,5.715
Miles City,miles-city,vpd,1986-11-01,2.416
Miles City,miles-city,vpd,1986-12-01,2.19
Miles City,miles-city,vpd,1987-01-01,2.401
Miles City,miles-city,vpd,1987-02-01,2.843
Miles City,miles-city,vpd,1987-03-01,3.45
Miles City,miles-city,vpd,1987-04-01,10.694
Miles City,miles-city,vpd,1987-05-01,10.867
Miles City,miles-city,vpd,1987-06-01,15.64
Miles City,miles-city,vpd,1987-07-01,15.125
