name,id,variable,date,value
St. Marys,09040001,vpd,1979-01-01,0.659
St. Marys,09040001,vpd,1979-02-01,1.155
St. Marys,09040001,vpd,1979-03-01,2.492
St. Marys,09040001,vpd,1979-04-01,2.628
St. Marys,09040001,vpd,1979-05-01,4.606
St. Marys,09040001,vpd,1979-06-01,7.941
St. Marys,09040001,vpd,1979-07-01,10.709
St. Marys,09040001,vpd,1979-08-01,9.127
St. Marys,09040001,vpd,1979-09-01,8.776
St. Marys,09040001,vpd,1979-10-01,4.574
St. Marys,09040001,vpd,1979-11-01,1.97
St. Marys,09040001,vpd,1979-12-01,2.083
St. Marys,09040001,vpd,1980-01-01,0.958
St. Marys,09040001,vpd,1980-02-01,1.606
St. Marys,09040001,vpd,1980-03-01,1.567
St. Marys,09040001,vpd,1980-04-01,5.029
St. Marys,09040001,vpd,1980-05-01,5.523
St. Marys,09040001,vpd,1980-06-01,5.438
St. Marys,09040001,vpd,1980-07-01,9.081
St. Marys,09040001,vpd,1980-08-01,5.745
St. Marys,09040001,vpd,1980-09-01,5.447
St. Marys,09040001,vpd,1980-10-01,4.897
St. Marys,09040001,vpd,1980-11-01,2.274
St. Marys,09040001,vpd,1980-12-01,1.572
St. Marys,09040001,vpd,1981-01-01,2.034
St. Marys,09040001,vpd,1981-02-01,2.163
St. Marys,09040001,vpd,1981-03-01,3.013
St. Marys,09040001,vpd,1981-04-01,4.072
St. Marys,09040001,vpd,1981-05-01,4.007
St. Marys,09040001,vpd,1981-06-01,4.845
St. Marys,09040001,vpd,1981-07-01,8.226
St. Marys,09040001,vpd,1981-08-01,11.353
St. Marys,09040001,vpd,1981-09-01,8.019
St. Marys,09040001,vpd,1981-10-01,3.185
St. Marys,09040001,vpd,1981-11-01,2.366
St. Marys,09040001,vpd,1981-12-01,1.203
St. Marys,09040001,vpd,1982-01-01,0.557
St. Marys,09040001,vpd,1982-02-01,1.66
St. Marys,09040001,vpd,1982-03-01,1.531
St. Marys,09040001,vpd,1982-04-01,3.227
St. Marys,09040001,vpd,1982-05-01,4.903
St. Marys,09040001,vpd,1982-06-01,6.477
St. Marys,09040001,vpd,1982-07-01,8.037
St. Marys,09040001,vpd,1982-08-01,8.441
St. Marys,09040001,vpd,1982-09-01,5.695
St. Marys,09040001,vpd,1982-10-01,3.543
St. Marys,09040001,vpd,1982-11-01,1.395
St. Marys,09040001,vpd,1982-12-01,1.102
St. Marys,09040001,vpd,1983-01-01,1.601
St. Marys,09040001,vpd,1983-02-01,1.983
St. Marys,09040001,vpd,1983-03-01,1.738
St. Marys,09040001,vpd,1983-04-01,3.728
St. Marys,09040001,vpd,1983-05-01,5.616
St. Marys,09040001,vpd,1983-06-01,6.2
St. Marys,09040001,vpd,1983-07-01,8.643
St. Marys,09040001,vpd,1983-08-01,10.679
St. Marys,09040001,vpd,1983-09-01,5.163
St. Marys,09040001,vpd,1983-10-01,4.136
St. Marys,09040001,vpd,1983-11-01,1.654
St. Marys,09040001,vpd,1983-12-01,0.921
St. Marys,09040001,vpd,1984-01-01,1.85
St. Marys,09040001,vpd,1984-02-01,2.635
St. Marys,09040001,vpd,1984-03-01,2.007
St. Marys,09040001,vpd,1984-04-01,4.135
St. Marys,09040001,vpd,1984-05-01,4.757
St. Marys,09040001,vpd,1984-06-01,6.304
St. Marys,09040001,vpd,1984-07-01,11.804
St. Marys,09040001,vpd,1984-08-01,11.168
St. Marys,09040001,vpd,1984-09-01,4.777
St. Marys,09040001,vpd,1984-10-01,2.998
St. Marys,09040001,vpd,1984-11-01,1.65
St. Marys,09040001,vpd,1984-12-01,1.029
St. Marys,09040001,vpd,1985-01-01,1.483
St. Marys,09040001,vpd,1985-02-01,1.626
St. Marys,09040001,vpd,1985-03-01,2.034
