name,id,variable,date,value
Meagher County,30059,vs,1979-01-01,10.142
Meagher County,30059,vs,1979-02-01,13.19
Meagher County,30059,vs,1979-03-01,11.422
Meagher County,30059,vs,1979-04-01,11.374
Meagher County,30059,vs,1979-05-01,10.697
Meagher County,30059,vs,1979-06-01,10.071
Meagher County,30059,vs,1979-07-01,7.615
Meagher County,30059,vs,1979-08-01,7.805
Meagher County,30059,vs,1979-09-01,9.185
Meagher County,30059,vs,1979-10-01,11.004
Meagher County,30059,vs,1979-11-01,11.315
Meagher County,30059,vs,1979-12-01,16.058
Meagher County,30059,vs,1980-01-01,11.953
Meagher County,30059,vs,1980-02-01,10.035
Meagher County,30059,vs,1980-03-01,12.409
Meagher County,30059,vs,1980-04-01,10.719
Meagher County,30059,vs,1980-05-01,8.46
Meagher County,30059,vs,1980-06-01,8.301
Meagher County,30059,vs,1980-07-01,9.141
Meagher County,30059,vs,1980-08-01,9.437
Meagher County,30059,vs,1980-09-01,11.8
Meagher County,30059,vs,1980-10-01,10.981
Meagher County,30059,vs,1980-11-01,13.616
Meagher County,30059,vs,1980-12-01,14.896
Meagher County,30059,vs,1981-01-01,9.714
Meagher County,30059,vs,1981-02-01,13.834
Meagher County,30059,vs,1981-03-01,9.64
Meagher County,30059,vs,1981-04-01,14.013
Meagher County,30059,vs,1981-05-01,9.028
Meagher County,30059,vs,1981-06-01,12.348
Meagher County,30059,vs,1981-07-01,8.831
Meagher County,30059,vs,1981-08-01,6.814
Meagher County,30059,vs,1981-09-01,8.648
Meagher County,30059,vs,1981-10-01,11.171
Meagher County,30059,vs,1981-11-01,10.68
Meagher County,30059,vs,1981-12-01,13.871
Meagher County,30059,vs,1982-01-01,15.466
Meagher County,30059,vs,1982-02-01,13.642
Meagher County,30059,vs,1982-03-01,11.921
Meagher County,30059,vs,1982-04-01,12.288
Meagher County,30059,vs,1982-05-01,10.428
Meagher County,30059,vs,1982-06-01,7.124
Meagher County,30059,vs,1982-07-01,8.878
Meagher County,30059,vs,1982-08-01,8.714
Meagher County,30059,vs,1982-09-01,10.142
Meagher County,30059,vs,1982-10-01,10.865
Meagher County,30059,vs,1982-11-01,10.991
Meagher County,30059,vs,1982-12-01,13.228
Meagher County,30059,vs,1983-01-01,13.039
Meagher County,30059,vs,1983-02-01,11.538
Meagher County,30059,vs,1983-03-01,10.208
Meagher County,30059,vs,1983-04-01,8.778
Meagher County,30059,vs,1983-05-01,10.087
Meagher County,30059,vs,1983-06-01,8.943
Meagher County,30059,vs,1983-07-01,10.327
Meagher County,30059,vs,1983-08-01,8.331
Meagher County,30059,vs,1983-09-01,11.323
Meagher County,30059,vs,1983-10-01,10.762
Meagher County,30059,vs,1983-11-01,11.387
Meagher County,30059,vs,1983-12-01,9.807
Meagher County,30059,vs,1984-01-01,16.006
Meagher County,30059,vs,1984-02-01,13.083
Meagher County,30059,vs,1984-03-01,11.021
Meagher County,30059,vs,1984-04-01,11.072
Meagher County,30059,vs,1984-05-01,13.003
Meagher County,30059,vs,1984-06-01,9.733
Meagher County,30059,vs,1984-07-01,8.696
Meagher County,30059,vs,1984-08-01,9.227
Meagher County,30059,vs,1984-09-01,10.88
Meagher County,30059,vs,1984-10-01,11.091
Meagher County,30059,vs,1984-11-01,12.961
Meagher County,30059,vs,1984-12-01,14.063
Meagher County,30059,vs,1985-01-01,10.961
Meagher County,30059,vs,1985-02-01,14.332
Meagher County,30059,vs,1985-03-01,11.101
Meagher County,30059,vs,1985-04-01,13.15
Meagher County,30059,vs,1985-05-01,9.531
Meagher County,30059,vs,1985-06-01,10.4
Meagher County,30059,vs,1985-07-01,8.002
Meagher County,30059,vs,1985-08-01,8.976
Meagher County,30059,vs,1985-09-01,11.646
Meagher County,30059,vs,1985-10-01,14.73
Meagher County,30059,vs,1985-11-01,10.572
Meagher County,30059,vs,1985-12-01,14.115
Meagher County,30059,vs,1986-01-01,14.083
Meagher County,30059,vs,1986-02-01,10.744
Meagher County,30059,vs,1986-03-01,12.536
Meagher County,30059,vs,1986-04-01,11.329
Meagher County,30059,vs,1986-05-01,11.012
Meagher County,30059,vs,1986-06-01,9.076
Meagher County,30059,vs,1986-07-01,9.401
Meagher County,30059,vs,1986-08-01,7.506
Meagher County,30059,vs,1986-09-01,10.458
Meagher County,30059,vs,1986-10-01,9.417
Meagher County,30059,vs,1986-11-01,13.855
Meagher County,30059,vs,1986-12-01,12.013
Meagher County,30059,vs,1987-01-01,13.43
Meagher County,30059,vs,1987-02-01,10.68
Meagher County,30059,vs,1987-03-01,11.427
Meagher County,30059,vs,1987-04-01,10.631
Meagher County,30059,vs,1987-05-01,9.187
Meagher County,30059,vs,1987-06-01,10.081
Meagher County,30059,vs,1987-07-01,8.437
Meagher County,30059,vs,1987-08-01,8.76
Meagher County,30059,vs,1987-09-01,8.65
Meagher County,30059,vs,1987-10-01,10.476
Meagher County,30059,vs,1987-11-01,10.189
Meagher County,30059,vs,1987-12-01,13.462
Meagher County,30059,vs,1988-01-01,13.145
Meagher County,30059,vs,1988-02-01,14.615
Meagher County,30059,vs,1988-03-01,14.249
Meagher County,30059,vs,1988-04-01,10.747
Meagher County,30059,vs,1988-05-01,10.831
Meagher County,30059,vs,1988-06-01,9.514
Meagher County,30059,vs,1988-07-01,8.739
Meagher County,30059,vs,1988-08-01,9.027
Meagher County,30059,vs,1988-09-01,10.098
Meagher County,30059,vs,1988-10-01,11.117
Meagher County,30059,vs,1988-11-01,14.75
Meagher County,30059,vs,1988-12-01,13.342
Meagher County,30059,vs,1989-01-01,16.459
Meagher County,30059,vs,1989-02-01,10.075
Meagher County,30059,vs,1989-03-01,10.637
Meagher County,30059,vs,1989-04-01,11.477
Meagher County,30059,vs,1989-05-01,11.152
Meagher County,30059,vs,1989-06-01,8.834
Meagher County,30059,vs,1989-07-01,8.102
Meagher County,30059,vs,1989-08-01,7.848
Meagher County,30059,vs,1989-09-01,9.174
Meagher County,30059,vs,1989-10-01,11.026
Meagher County,30059,vs,1989-11-01,16.825
Meagher County,30059,vs,1989-12-01,14.004
Meagher County,30059,vs,1990-01-01,16.557
Meagher County,30059,vs,1990-02-01,15.35
Meagher County,30059,vs,1990-03-01,10.838
Meagher County,30059,vs,1990-04-01,9.836
Meagher County,30059,vs,1990-05-01,9.807
Meagher County,30059,vs,1990-06-01,11.067
Meagher County,30059,vs,1990-07-01,8.299
Meagher County,30059,vs,1990-08-01,7.823
Meagher County,30059,vs,1990-09-01,8.648
Meagher County,30059,vs,1990-10-01,15.97
Meagher County,30059,vs,1990-11-01,17.033
Meagher County,30059,vs,1990-12-01,16.315
Meagher County,30059,vs,1991-01-01,14.647
Meagher County,30059,vs,1991-02-01,13.507
Meagher County,30059,vs,1991-03-01,12.448
Meagher County,30059,vs,1991-04-01,12.227
Meagher County,30059,vs,1991-05-01,9.866
Meagher County,30059,vs,1991-06-01,9.389
Meagher County,30059,vs,1991-07-01,8.706
Meagher County,30059,vs,1991-08-01,7.943
Meagher County,30059,vs,1991-09-01,9.17
Meagher County,30059,vs,1991-10-01,12.693
Meagher County,30059,vs,1991-11-01,13.199
Meagher County,30059,vs,1991-12-01,14.704
Meagher County,30059,vs,1992-01-01,14.134
Meagher County,30059,vs,1992-02-01,10.582
Meagher County,30059,vs,1992-03-01,7.788
Meagher County,30059,vs,1992-04-01,11.244
Meagher County,30059,vs,1992-05-01,9.904
Meagher County,30059,vs,1992-06-01,8.033
Meagher County,30059,vs,1992-07-01,7.963
Meagher County,30059,vs,1992-08-01,7.845
Meagher County,30059,vs,1992-09-01,13.663
Meagher County,30059,vs,1992-10-01,10.258
Meagher County,30059,vs,1992-11-01,12.164
Meagher County,30059,vs,1992-12-01,13.612
Meagher County,30059,vs,1993-01-01,11.302
Meagher County,30059,vs,1993-02-01,8.476
Meagher County,30059,vs,1993-03-01,11.581
Meagher County,30059,vs,1993-04-01,10.534
Meagher County,30059,vs,1993-05-01,9.396
Meagher County,30059,vs,1993-06-01,11.736
Meagher County,30059,vs,1993-07-01,8.54
Meagher County,30059,vs,1993-08-01,8.456
Meagher County,30059,vs,1993-09-01,10.092
Meagher County,30059,vs,1993-10-01,10.946
Meagher County,30059,vs,1993-11-01,13.826
Meagher County,30059,vs,1993-12-01,15.611
Meagher County,30059,vs,1994-01-01,14.664
Meagher County,30059,vs,1994-02-01,13.317
Meagher County,30059,vs,1994-03-01,13.563
Meagher County,30059,vs,1994-04-01,10.654
Meagher County,30059,vs,1994-05-01,9.708
Meagher County,30059,vs,1994-06-01,10.49
Meagher County,30059,vs,1994-07-01,7.758
Meagher County,30059,vs,1994-08-01,8.19
Meagher County,30059,vs,1994-09-01,9.161
Meagher County,30059,vs,1994-10-01,12.594
Meagher County,30059,vs,1994-11-01,14.822
Meagher County,30059,vs,1994-12-01,12.483
Meagher County,30059,vs,1995-01-01,10.508
Meagher County,30059,vs,1995-02-01,13.489
Meagher County,30059,vs,1995-03-01,11.474
Meagher County,30059,vs,1995-04-01,10.793
Meagher County,30059,vs,1995-05-01,8.871
Meagher County,30059,vs,1995-06-01,8.315
Meagher County,30059,vs,1995-07-01,9.601
Meagher County,30059,vs,1995-08-01,9.363
Meagher County,30059,vs,1995-09-01,9.065
Meagher County,30059,vs,1995-10-01,13.362
Meagher County,30059,vs,1995-11-01,14.515
Meagher County,30059,vs,1995-12-01,12.595
Meagher County,30059,vs,1996-01-01,12.352
Meagher County,30059,vs,1996-02-01,13.791
Meagher County,30059,vs,1996-03-01,11.039
Meagher County,30059,vs,1996-04-01,13.022
Meagher County,30059,vs,1996-05-01,9.356
Meagher County,30059,vs,1996-06-01,10.011
Meagher County,30059,vs,1996-07-01,8.247
Meagher County,30059,vs,1996-08-01,9.176
Meagher County,30059,vs,1996-09-01,10.452
Meagher County,30059,vs,1996-10-01,12.026
Meagher County,30059,vs,1996-11-01,11.418
Meagher County,30059,vs,1996-12-01,15.004
Meagher County,30059,vs,1997-01-01,12.606
Meagher County,30059,vs,1997-02-01,11.507
Meagher County,30059,vs,1997-03-01,14.857
Meagher County,30059,vs,1997-04-01,11.57
Meagher County,30059,vs,1997-05-01,9.64
Meagher County,30059,vs,1997-06-01,9.071
Meagher County,30059,vs,1997-07-01,8.123
Meagher County,30059,vs,1997-08-01,8.389
Meagher County,30059,vs,1997-09-01,10.621
Meagher County,30059,vs,1997-10-01,13.375
Meagher County,30059,vs,1997-11-01,10.846
Meagher County,30059,vs,1997-12-01,12.748
Meagher County,30059,vs,1998-01-01,12.444
Meagher County,30059,vs,1998-02-01,9.124
Meagher County,30059,vs,1998-03-01,8.382
Meagher County,30059,vs,1998-04-01,8.865
Meagher County,30059,vs,1998-05-01,10.203
Meagher County,30059,vs,1998-06-01,10.524
Meagher County,30059,vs,1998-07-01,7.524
Meagher County,30059,vs,1998-08-01,7.451
Meagher County,30059,vs,1998-09-01,8.099
Meagher County,30059,vs,1998-10-01,9.285
Meagher County,30059,vs,1998-11-01,13.392
Meagher County,30059,vs,1998-12-01,15.895
Meagher County,30059,vs,1999-01-01,14.327
Meagher County,30059,vs,1999-02-01,16.304
Meagher County,30059,vs,1999-03-01,10.277
Meagher County,30059,vs,1999-04-01,10.337
Meagher County,30059,vs,1999-05-01,10.157
Meagher County,30059,vs,1999-06-01,10.058
Meagher County,30059,vs,1999-07-01,9.843
Meagher County,30059,vs,1999-08-01,8.36
Meagher County,30059,vs,1999-09-01,10.096
Meagher County,30059,vs,1999-10-01,12.832
Meagher County,30059,vs,1999-11-01,13.048
Meagher County,30059,vs,1999-12-01,15.145
Meagher County,30059,vs,2000-01-01,13.739
Meagher County,30059,vs,2000-02-01,11.981
Meagher County,30059,vs,2000-03-01,13.518
Meagher County,30059,vs,2000-04-01,11.373
Meagher County,30059,vs,2000-05-01,10.918
Meagher County,30059,vs,2000-06-01,10.78
Meagher County,30059,vs,2000-07-01,7.671
Meagher County,30059,vs,2000-08-01,9.34
Meagher County,30059,vs,2000-09-01,11.967
Meagher County,30059,vs,2000-10-01,9.311
Meagher County,30059,vs,2000-11-01,11.175
Meagher County,30059,vs,2000-12-01,11.852
Meagher County,30059,vs,2001-01-01,11.1
Meagher County,30059,vs,2001-02-01,10.13
Meagher County,30059,vs,2001-03-01,11.412
Meagher County,30059,vs,2001-04-01,11.436
Meagher County,30059,vs,2001-05-01,12.577
Meagher County,30059,vs,2001-06-01,9.131
Meagher County,30059,vs,2001-07-01,7.531
Meagher County,30059,vs,2001-08-01,7.649
Meagher County,30059,vs,2001-09-01,8.838
Meagher County,30059,vs,2001-10-01,15.283
Meagher County,30059,vs,2001-11-01,11.458
Meagher County,30059,vs,2001-12-01,12.861
Meagher County,30059,vs,2002-01-01,14.41
Meagher County,30059,vs,2002-02-01,14.065
Meagher County,30059,vs,2002-03-01,12.997
Meagher County,30059,vs,2002-04-01,11.912
Meagher County,30059,vs,2002-05-01,11.417
Meagher County,30059,vs,2002-06-01,9.817
Meagher County,30059,vs,2002-07-01,8.958
Meagher County,30059,vs,2002-08-01,9.553
Meagher County,30059,vs,2002-09-01,10.386
Meagher County,30059,vs,2002-10-01,11.305
Meagher County,30059,vs,2002-11-01,14.395
Meagher County,30059,vs,2002-12-01,13.054
Meagher County,30059,vs,2003-01-01,13.817
Meagher County,30059,vs,2003-02-01,11.388
Meagher County,30059,vs,2003-03-01,14.057
Meagher County,30059,vs,2003-04-01,9.586
Meagher County,30059,vs,2003-05-01,10.02
Meagher County,30059,vs,2003-06-01,9.822
Meagher County,30059,vs,2003-07-01,8.547
Meagher County,30059,vs,2003-08-01,8.346
Meagher County,30059,vs,2003-09-01,11.576
Meagher County,30059,vs,2003-10-01,13.94
Meagher County,30059,vs,2003-11-01,15.075
Meagher County,30059,vs,2003-12-01,12.71
Meagher County,30059,vs,2004-01-01,13.313
Meagher County,30059,vs,2004-02-01,10.958
Meagher County,30059,vs,2004-03-01,15.174
Meagher County,30059,vs,2004-04-01,10.145
Meagher County,30059,vs,2004-05-01,11.614
Meagher County,30059,vs,2004-06-01,10.511
Meagher County,30059,vs,2004-07-01,9.254
Meagher County,30059,vs,2004-08-01,9.038
Meagher County,30059,vs,2004-09-01,10.348
Meagher County,30059,vs,2004-10-01,11.654
Meagher County,30059,vs,2004-11-01,12.67
Meagher County,30059,vs,2004-12-01,15.203
Meagher County,30059,vs,2005-01-01,11.676
Meagher County,30059,vs,2005-02-01,11.364
Meagher County,30059,vs,2005-03-01,13.991
Meagher County,30059,vs,2005-04-01,12.785
Meagher County,30059,vs,2005-05-01,10.63
Meagher County,30059,vs,2005-06-01,10.217
Meagher County,30059,vs,2005-07-01,9.585
Meagher County,30059,vs,2005-08-01,9.018
Meagher County,30059,vs,2005-09-01,11.108
Meagher County,30059,vs,2005-10-01,10.857
Meagher County,30059,vs,2005-11-01,14.204
Meagher County,30059,vs,2005-12-01,13.993
Meagher County,30059,vs,2006-01-01,17.114
Meagher County,30059,vs,2006-02-01,14.764
Meagher County,30059,vs,2006-03-01,10.738
Meagher County,30059,vs,2006-04-01,11.484
Meagher County,30059,vs,2006-05-01,10.999
Meagher County,30059,vs,2006-06-01,10.453
Meagher County,30059,vs,2006-07-01,8.465
Meagher County,30059,vs,2006-08-01,8.445
Meagher County,30059,vs,2006-09-01,10.164
Meagher County,30059,vs,2006-10-01,11.775
Meagher County,30059,vs,2006-11-01,15.623
Meagher County,30059,vs,2006-12-01,14.328
Meagher County,30059,vs,2007-01-01,15.661
Meagher County,30059,vs,2007-02-01,13.227
Meagher County,30059,vs,2007-03-01,14.131
Meagher County,30059,vs,2007-04-01,10.64
Meagher County,30059,vs,2007-05-01,10.268
Meagher County,30059,vs,2007-06-01,9.677
Meagher County,30059,vs,2007-07-01,7.422
Meagher County,30059,vs,2007-08-01,9.44
Meagher County,30059,vs,2007-09-01,11
Meagher County,30059,vs,2007-10-01,13.009
Meagher County,30059,vs,2007-11-01,15.3
Meagher County,30059,vs,2007-12-01,15.727
Meagher County,30059,vs,2008-01-01,15.87
Meagher County,30059,vs,2008-02-01,15.115
Meagher County,30059,vs,2008-03-01,13.828
Meagher County,30059,vs,2008-04-01,12.816
Meagher County,30059,vs,2008-05-01,11.829
Meagher County,30059,vs,2008-06-01,10.547
Meagher County,30059,vs,2008-07-01,9.63
Meagher County,30059,vs,2008-08-01,10.368
Meagher County,30059,vs,2008-09-01,8.98
Meagher County,30059,vs,2008-10-01,13.348
Meagher County,30059,vs,2008-11-01,14.385
Meagher County,30059,vs,2008-12-01,14.682
Meagher County,30059,vs,2009-01-01,16.882
Meagher County,30059,vs,2009-02-01,12.528
Meagher County,30059,vs,2009-03-01,12.543
Meagher County,30059,vs,2009-04-01,10.791
Meagher County,30059,vs,2009-05-01,12.056
Meagher County,30059,vs,2009-06-01,9.278
Meagher County,30059,vs,2009-07-01,8.198
Meagher County,30059,vs,2009-08-01,9.681
Meagher County,30059,vs,2009-09-01,10.673
Meagher County,30059,vs,2009-10-01,13.64
Meagher County,30059,vs,2009-11-01,14.786
Meagher County,30059,vs,2009-12-01,11.932
Meagher County,30059,vs,2010-01-01,10.336
Meagher County,30059,vs,2010-02-01,9.006
Meagher County,30059,vs,2010-03-01,11.779
Meagher County,30059,vs,2010-04-01,14.417
Meagher County,30059,vs,2010-05-01,11.947
Meagher County,30059,vs,2010-06-01,10.722
Meagher County,30059,vs,2010-07-01,10.101
Meagher County,30059,vs,2010-08-01,9.664
Meagher County,30059,vs,2010-09-01,11.506
Meagher County,30059,vs,2010-10-01,11.622
Meagher County,30059,vs,2010-11-01,13.22
Meagher County,30059,vs,2010-12-01,11.949
Meagher County,30059,vs,2011-01-01,16.667
Meagher County,30059,vs,2011-02-01,15.491
Meagher County,30059,vs,2011-03-01,13.537
Meagher County,30059,vs,2011-04-01,14.573
Meagher County,30059,vs,2011-05-01,12.862
Meagher County,30059,vs,2011-06-01,11.584
Meagher County,30059,vs,2011-07-01,9.981
Meagher County,30059,vs,2011-08-01,9.043
Meagher County,30059,vs,2011-09-01,10.28
Meagher County,30059,vs,2011-10-01,14.099
Meagher County,30059,vs,2011-11-01,16.235
Meagher County,30059,vs,2011-12-01,16.008
Meagher County,30059,vs,2012-01-01,17.855
Meagher County,30059,vs,2012-02-01,12.737
Meagher County,30059,vs,2012-03-01,16.502
Meagher County,30059,vs,2012-04-01,13.393
Meagher County,30059,vs,2012-05-01,12.539
Meagher County,30059,vs,2012-06-01,13.556
Meagher County,30059,vs,2012-07-01,7.855
Meagher County,30059,vs,2012-08-01,8.59
Meagher County,30059,vs,2012-09-01,10.205
Meagher County,30059,vs,2012-10-01,12.9
Meagher County,30059,vs,2012-11-01,14.428
Meagher County,30059,vs,2012-12-01,13.879
Meagher County,30059,vs,2013-01-01,15.198
Meagher County,30059,vs,2013-02-01,14.337
Meagher County,30059,vs,2013-03-01,12.992
Meagher County,30059,vs,2013-04-01,14.178
Meagher County,30059,vs,2013-05-01,10.544
Meagher County,30059,vs,2013-06-01,9.781
Meagher County,30059,vs,2013-07-01,8.375
Meagher County,30059,vs,2013-08-01,8.719
Meagher County,30059,vs,2013-09-01,10.607
Meagher County,30059,vs,2013-10-01,11.907
Meagher County,30059,vs,2013-11-01,12.616
Meagher County,30059,vs,2013-12-01,15.508
Meagher County,30059,vs,2014-01-01,16.382
Meagher County,30059,vs,2014-02-01,13.511
Meagher County,30059,vs,2014-03-01,13.858
Meagher County,30059,vs,2014-04-01,13.531
Meagher County,30059,vs,2014-05-01,8.456
Meagher County,30059,vs,2014-06-01,9.99
Meagher County,30059,vs,2014-07-01,9.361
Meagher County,30059,vs,2014-08-01,7.211
Meagher County,30059,vs,2014-09-01,10.176
Meagher County,30059,vs,2014-10-01,13.303
Meagher County,30059,vs,2014-11-01,15.001
Meagher County,30059,vs,2014-12-01,12.202
Meagher County,30059,vs,2015-01-01,13.268
Meagher County,30059,vs,2015-02-01,12.605
Meagher County,30059,vs,2015-03-01,14.35
Meagher County,30059,vs,2015-04-01,10.445
