name,id,variable,date,value
Lower Milk,10050012,vs,1979-01-01,5.696
Lower Milk,10050012,vs,1979-02-01,6.126
Lower Milk,10050012,vs,1979-03-01,6.248
Lower Milk,10050012,vs,1979-04-01,8.06
Lower Milk,10050012,vs,1979-05-01,7.663
Lower Milk,10050012,vs,1979-06-01,8.552
Lower Milk,10050012,vs,1979-07-01,7.201
Lower Milk,10050012,vs,1979-08-01,7.553
Lower Milk,10050012,vs,1979-09-01,7.806
Lower Milk,10050012,vs,1979-10-01,8.488
Lower Milk,10050012,vs,1979-11-01,6.317
Lower Milk,10050012,vs,1979-12-01,7.679
Lower Milk,10050012,vs,1980-01-01,7.385
Lower Milk,10050012,vs,1980-02-01,6.043
Lower Milk,10050012,vs,1980-03-01,7.833
Lower Milk,10050012,vs,1980-04-01,9.187
Lower Milk,10050012,vs,1980-05-01,7.967
Lower Milk,10050012,vs,1980-06-01,8.071
Lower Milk,10050012,vs,1980-07-01,7.762
Lower Milk,10050012,vs,1980-08-01,8.197
Lower Milk,10050012,vs,1980-09-01,8.148
Lower Milk,10050012,vs,1980-10-01,8.003
Lower Milk,10050012,vs,1980-11-01,7.693
Lower Milk,10050012,vs,1980-12-01,7.178
Lower Milk,10050012,vs,1981-01-01,5.619
Lower Milk,10050012,vs,1981-02-01,8.381
Lower Milk,10050012,vs,1981-03-01,6.901
Lower Milk,10050012,vs,1981-04-01,9.703
Lower Milk,10050012,vs,1981-05-01,9.539
Lower Milk,10050012,vs,1981-06-01,8.99
Lower Milk,10050012,vs,1981-07-01,7.902
Lower Milk,10050012,vs,1981-08-01,6.437
Lower Milk,10050012,vs,1981-09-01,8.235
Lower Milk,10050012,vs,1981-10-01,8.694
Lower Milk,10050012,vs,1981-11-01,5.812
Lower Milk,10050012,vs,1981-12-01,6.027
Lower Milk,10050012,vs,1982-01-01,6.763
Lower Milk,10050012,vs,1982-02-01,6.264
Lower Milk,10050012,vs,1982-03-01,7.755
Lower Milk,10050012,vs,1982-04-01,9.329
Lower Milk,10050012,vs,1982-05-01,8.141
Lower Milk,10050012,vs,1982-06-01,6.565
Lower Milk,10050012,vs,1982-07-01,7.737
Lower Milk,10050012,vs,1982-08-01,7.454
Lower Milk,10050012,vs,1982-09-01,8.103
Lower Milk,10050012,vs,1982-10-01,7.737
Lower Milk,10050012,vs,1982-11-01,6.567
Lower Milk,10050012,vs,1982-12-01,6.372
Lower Milk,10050012,vs,1983-01-01,5.73
Lower Milk,10050012,vs,1983-02-01,5.306
Lower Milk,10050012,vs,1983-03-01,7.728
Lower Milk,10050012,vs,1983-04-01,8.187
Lower Milk,10050012,vs,1983-05-01,7.873
Lower Milk,10050012,vs,1983-06-01,8.021
Lower Milk,10050012,vs,1983-07-01,8.713
Lower Milk,10050012,vs,1983-08-01,7.075
Lower Milk,10050012,vs,1983-09-01,9.272
Lower Milk,10050012,vs,1983-10-01,7.17
Lower Milk,10050012,vs,1983-11-01,6.724
Lower Milk,10050012,vs,1983-12-01,6.007
Lower Milk,10050012,vs,1984-01-01,6.963
Lower Milk,10050012,vs,1984-02-01,6.859
Lower Milk,10050012,vs,1984-03-01,7.435
Lower Milk,10050012,vs,1984-04-01,10.298
Lower Milk,10050012,vs,1984-05-01,10.334
Lower Milk,10050012,vs,1984-06-01,8.234
Lower Milk,10050012,vs,1984-07-01,7.558
Lower Milk,10050012,vs,1984-08-01,8.271
Lower Milk,10050012,vs,1984-09-01,8.218
Lower Milk,10050012,vs,1984-10-01,8.627
Lower Milk,10050012,vs,1984-11-01,6.725
Lower Milk,10050012,vs,1984-12-01,6.689
Lower Milk,10050012,vs,1985-01-01,6.391
Lower Milk,10050012,vs,1985-02-01,7.127
Lower Milk,10050012,vs,1985-03-01,8.125
Lower Milk,10050012,vs,1985-04-01,9.279
Lower Milk,10050012,vs,1985-05-01,7.689
Lower Milk,10050012,vs,1985-06-01,9.512
Lower Milk,10050012,vs,1985-07-01,7.713
Lower Milk,10050012,vs,1985-08-01,8.023
Lower Milk,10050012,vs,1985-09-01,9.671
Lower Milk,10050012,vs,1985-10-01,9.189
Lower Milk,10050012,vs,1985-11-01,6.726
Lower Milk,10050012,vs,1985-12-01,7.133
Lower Milk,10050012,vs,1986-01-01,6.874
Lower Milk,10050012,vs,1986-02-01,5.503
Lower Milk,10050012,vs,1986-03-01,8.338
Lower Milk,10050012,vs,1986-04-01,9.221
Lower Milk,10050012,vs,1986-05-01,10.052
Lower Milk,10050012,vs,1986-06-01,8.351
Lower Milk,10050012,vs,1986-07-01,7.818
Lower Milk,10050012,vs,1986-08-01,7.052
Lower Milk,10050012,vs,1986-09-01,7.745
Lower Milk,10050012,vs,1986-10-01,7.03
Lower Milk,10050012,vs,1986-11-01,7.055
Lower Milk,10050012,vs,1986-12-01,6.889
Lower Milk,10050012,vs,1987-01-01,7.067
Lower Milk,10050012,vs,1987-02-01,6.276
Lower Milk,10050012,vs,1987-03-01,7.647
Lower Milk,10050012,vs,1987-04-01,9.106
Lower Milk,10050012,vs,1987-05-01,7.955
Lower Milk,10050012,vs,1987-06-01,9.215
Lower Milk,10050012,vs,1987-07-01,7.464
Lower Milk,10050012,vs,1987-08-01,7.483
Lower Milk,10050012,vs,1987-09-01,6.822
Lower Milk,10050012,vs,1987-10-01,8.376
Lower Milk,10050012,vs,1987-11-01,6.461
Lower Milk,10050012,vs,1987-12-01,7.21
Lower Milk,10050012,vs,1988-01-01,6.538
Lower Milk,10050012,vs,1988-02-01,7.46
Lower Milk,10050012,vs,1988-03-01,9.426
Lower Milk,10050012,vs,1988-04-01,8.767
Lower Milk,10050012,vs,1988-05-01,9.842
Lower Milk,10050012,vs,1988-06-01,8.534
Lower Milk,10050012,vs,1988-07-01,7.852
Lower Milk,10050012,vs,1988-08-01,7.898
Lower Milk,10050012,vs,1988-09-01,8.608
Lower Milk,10050012,vs,1988-10-01,7.878
Lower Milk,10050012,vs,1988-11-01,7.369
Lower Milk,10050012,vs,1988-12-01,6.559
Lower Milk,10050012,vs,1989-01-01,7.022
Lower Milk,10050012,vs,1989-02-01,6.426
Lower Milk,10050012,vs,1989-03-01,5.448
Lower Milk,10050012,vs,1989-04-01,7.712
Lower Milk,10050012,vs,1989-05-01,8.974
Lower Milk,10050012,vs,1989-06-01,8.142
Lower Milk,10050012,vs,1989-07-01,7.962
Lower Milk,10050012,vs,1989-08-01,7.949
Lower Milk,10050012,vs,1989-09-01,7.947
Lower Milk,10050012,vs,1989-10-01,7.683
Lower Milk,10050012,vs,1989-11-01,7.717
Lower Milk,10050012,vs,1989-12-01,6.666
Lower Milk,10050012,vs,1990-01-01,7.478
Lower Milk,10050012,vs,1990-02-01,7.459
Lower Milk,10050012,vs,1990-03-01,7.978
Lower Milk,10050012,vs,1990-04-01,7.709
Lower Milk,10050012,vs,1990-05-01,8.468
Lower Milk,10050012,vs,1990-06-01,8.952
Lower Milk,10050012,vs,1990-07-01,7.762
